('The cat is round.', 'The cat is round.', True)
('The cat is cute.', 'The cat is cute.', True)
('The cat is cute.', 'The cat is cute.', True)
('The dinosaur attacks the cat.', 'The dinosaur attacks the cat.', True)
('The dinosaur attacks the cat.', 'The dinosaur attacks the cat.', True)
('The dog is nice.', 'The dog is nice.', True)
('The dog is nice.', 'The dog is nice.', True)
('The dinosaur is angry.', 'The dinosaur is angry.', True)
('The dinosaur is angry.', 'The dinosaur is angry.', True)
('The cheetah is awful.', 'The cheetah is awful.', True)
('The cheetah is awful.', 'The cheetah is awful.', True)
('The mouse is small.', 'The mouse is small.', True)
('The mouse is small.', 'The mouse is small.', True)
('The dinosaur sees the mouse.', 'The dinosaur sees the mouse.', True)
('The dinosaur sees the mouse.', 'The dinosaur sees the mouse.', True)
('The rabbit is smart.', 'The rabbit is smart.', True)
('The rabbit is smart.', 'The rabbit is smart.', True)
('The leopard is slow.', 'The leopard is slow.', True)
('The leopard is slow.', 'The leopard is slow.', True)
('The bald eagle is awful.', 'The bald eagle is awful.', True)
('The bald eagle is awful.', 'The bald eagle is awful.', True)
('The hamster is cute.', 'The hamster is cute.', True)
('The hamster is cute.', 'The hamster is cute.', True)
('The leopard chases the hamster.', 'The leopard chases the hamster.', True)
('The leopard chases the hamster.', 'The leopard chases the hamster.', True)
('The rabbit is nice.', 'The rabbit is nice.', True)
('The rabbit is nice.', 'The rabbit is nice.', True)
('The cheetah is boring.', 'The cheetah is boring.', True)
('The cheetah is boring.', 'The cheetah is boring.', True)
('The crocodile is obese.', 'The crocodile is obese.', True)
('The crocodile is obese.', 'The crocodile is obese.', True)
('The dog is adorable.', 'The dog is adorable.', True)
('The dog is adorable.', 'The dog is adorable.', True)
('The cheetah sees the dog.', 'The cheetah sees the dog.', True)
('The cheetah sees the dog.', 'The cheetah sees the dog.', True)
('The dog is round.', 'The dog is round.', True)
('The dog is round.', 'The dog is round.', True)
('The cheetah is rough.', 'The cheetah is rough.', True)
('The cheetah is rough.', 'The cheetah is rough.', True)
('The crocodile is obese.', 'The crocodile is obese.', True)
('The crocodile is obese.', 'The crocodile is obese.', True)
('The squirrel is beautiful.', 'The squirrel is adorable.', False)
('The squirrel is beautiful.', 'The squirrel is adorable.', False)
('The cheetah attacks the squirrel.', 'The cheetah attacks the squirrel.', True)
('The cheetah attacks the squirrel.', 'The cheetah attacks the squirrel.', True)
('The cat is nice.', 'The cat is nice.', True)
('The cat is nice.', 'The cat is nice.', True)
('The leopard is slow.', 'The leopard is slow.', True)
('The leopard is slow.', 'The leopard is slow.', True)
('The crocodile is big.', 'The crocodile is big.', True)
('The crocodile is big.', 'The crocodile is big.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The leopard sees the mouse.', 'The leopard sees the mouse.', True)
('The leopard sees the mouse.', 'The leopard sees the mouse.', True)
('The rabbit is smart.', 'The rabbit is smart.', True)
('The rabbit is smart.', 'The rabbit is smart.', True)
('The wolf is tired.', 'The wolf is tired.', True)
('The wolf is tired.', 'The wolf is tired.', True)
('The falcon is fierce.', 'The falcon is fierce.', True)
('The falcon is fierce.', 'The falcon is fierce.', True)
('The hamster is cute.', 'The hamster is cute.', True)
('The hamster is cute.', 'The hamster is cute.', True)
('The wolf likes the hamster.', 'The wolf likes the hamster.', True)
('The wolf likes the hamster.', 'The wolf likes the hamster.', True)
('The hamster is round.', 'The hamster is round.', True)
('The hamster is round.', 'The hamster is round.', True)
('The tiger is sleepy.', 'The tiger is sleepy.', True)
('The tiger is sleepy.', 'The tiger is sleepy.', True)
('The falcon is fierce.', 'The falcon is fierce.', True)
('The falcon is fierce.', 'The falcon is fierce.', True)
('The rabbit is adorable.', 'The rabbit is adorable.', True)
('The rabbit is adorable.', 'The rabbit is adorable.', True)
('The tiger likes the rabbit.', 'The tiger likes the rabbit.', True)
('The tiger likes the rabbit.', 'The tiger likes the rabbit.', True)
('The dog is nice.', 'The dog is nice.', True)
('The dog is nice.', 'The dog is nice.', True)
('The falcon is rough.', 'The falcon is rough.', True)
('The falcon is rough.', 'The falcon is rough.', True)
('The snake is obese.', 'The snake is obese.', True)
('The snake is obese.', 'The snake is obese.', True)
('The mouse is adorable.', 'The mouse is adorable.', True)
('The mouse is adorable.', 'The mouse is adorable.', True)
('The falcon chases the mouse.', 'The falcon chases the mouse.', True)
('The falcon chases the mouse.', 'The falcon chases the mouse.', True)
('The squirrel is nice.', 'The squirrel is nice.', True)
('The squirrel is nice.', 'The squirrel is nice.', True)
('The cheetah is angry.', 'The cheetah is angry.', True)
('The cheetah is angry.', 'The cheetah is angry.', True)
('The lion is strong.', 'The lion is strong.', True)
('The lion is strong.', 'The lion is strong.', True)
('The dog is adorable.', 'The dog is adorable.', True)
('The dog is adorable.', 'The dog is adorable.', True)
('The cheetah chases the dog.', 'The cheetah chases the dog.', True)
('The cheetah chases the dog.', 'The cheetah chases the dog.', True)
('The hamster is quiet.', 'The hamster is quiet.', True)
('The hamster is quiet.', 'The hamster is quiet.', True)
('The bear is angry.', 'The bear is angry.', True)
('The bear is angry.', 'The bear is angry.', True)
('The dinosaur is strong.', 'The dinosaur is strong.', True)
('The dinosaur is strong.', 'The dinosaur is strong.', True)
('The cat is beautiful.', 'The cat is beautiful.', True)
('The cat is beautiful.', 'The cat is beautiful.', True)
('The bear visits the cat.', 'The bear visits the cat.', True)
('The bear visits the cat.', 'The bear visits the cat.', True)
('The rabbit is quiet.', 'The rabbit is quiet.', True)
('The rabbit is quiet.', 'The rabbit is quiet.', True)
('The dinosaur is sleepy.', 'The dinosaur is sleepy.', True)
('The dinosaur is sleepy.', 'The dinosaur is sleepy.', True)
('The lion is big.', 'The lion is big.', True)
('The lion is big.', 'The lion is big.', True)
('The hamster is small.', 'The hamster is small.', True)
('The hamster is small.', 'The hamster is small.', True)
('The dinosaur sees the hamster.', 'The dinosaur sees the hamster.', True)
('The dinosaur sees the hamster.', 'The dinosaur sees the hamster.', True)
('The cat is quiet.', 'The cat is quiet.', True)
('The cat is quiet.', 'The cat is quiet.', True)
('The cheetah is reckless.', 'The cheetah is reckless.', True)
('The cheetah is reckless.', 'The cheetah is reckless.', True)
('The bald eagle is fierce.', 'The bald eagle is fierce.', True)
('The bald eagle is fierce.', 'The bald eagle is fierce.', True)
('The hamster is funny.', 'The hamster is funny.', True)
('The hamster is funny.', 'The hamster is funny.', True)
('The cheetah chases the hamster.', 'The cheetah chases the hamster.', True)
('The cheetah chases the hamster.', 'The cheetah chases the hamster.', True)
('The mouse is nice.', 'The mouse is nice.', True)
('The mouse is nice.', 'The mouse is nice.', True)
('The falcon is slow.', 'The falcon is slow.', True)
('The falcon is slow.', 'The falcon is slow.', True)
('The tiger is awful.', 'The tiger is awful.', True)
('The tiger is awful.', 'The tiger is awful.', True)
('The rabbit is cute.', 'The rabbit is cute.', True)
('The rabbit is cute.', 'The rabbit is cute.', True)
('The falcon visits the rabbit.', 'The falcon visits the rabbit.', True)
('The falcon visits the rabbit.', 'The falcon visits the rabbit.', True)
('The cat is smart.', 'The cat is smart.', True)
('The cat is smart.', 'The cat is smart.', True)
('The bald eagle is tired.', 'The bald eagle is tired.', True)
('The bald eagle is tired.', 'The bald eagle is tired.', True)
('The wolf is fierce.', 'The wolf is fierce.', True)
('The wolf is fierce.', 'The wolf is fierce.', True)
('The rabbit is lovely.', 'The rabbit is lovely.', True)
('The rabbit is lovely.', 'The rabbit is lovely.', True)
('The bald eagle needs the rabbit.', 'The bald eagle needs the rabbit.', True)
('The bald eagle needs the rabbit.', 'The bald eagle needs the rabbit.', True)
('The hamster is smart.', 'The hamster is smart.', True)
('The hamster is smart.', 'The hamster is smart.', True)
('The tiger is lazy.', 'The tiger is lazy.', True)
('The tiger is lazy.', 'The tiger is lazy.', True)
('The bear is strong.', 'The bear is strong.', True)
('The bear is strong.', 'The bear is strong.', True)
('The squirrel is small.', 'The squirrel is small.', True)
('The squirrel is small.', 'The squirrel is small.', True)
('The tiger sees the squirrel.', 'The tiger sees the squirrel.', True)
('The tiger sees the squirrel.', 'The tiger sees the squirrel.', True)
('The cat is nice.', 'The cat is nice.', True)
('The cat is nice.', 'The cat is nice.', True)
('The leopard is rough.', 'The leopard is rough.', True)
('The leopard is rough.', 'The leopard is rough.', True)
('The tiger is fierce.', 'The tiger is fierce.', True)
('The tiger is fierce.', 'The tiger is fierce.', True)
('The rabbit is beautiful.', 'The rabbit is beautiful.', True)
('The rabbit is beautiful.', 'The rabbit is beautiful.', True)
('The leopard sees the rabbit.', 'The leopard sees the rabbit.', True)
('The leopard sees the rabbit.', 'The leopard sees the rabbit.', True)
('The cat is kind.', 'The cat is kind.', True)
('The cat is kind.', 'The cat is kind.', True)
('The bear is reckless.', 'The bear is reckless.', True)
('The bear is reckless.', 'The bear is reckless.', True)
('The crocodile is heavy.', 'The crocodile is heavy.', True)
('The crocodile is heavy.', 'The crocodile is heavy.', True)
('The mouse is adorable.', 'The mouse is adorable.', True)
('The mouse is adorable.', 'The mouse is adorable.', True)
('The bear chases the mouse.', 'The bear chases the mouse.', True)
('The bear chases the mouse.', 'The bear chases the mouse.', True)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The cheetah is tired.', 'The cheetah is tired.', True)
('The cheetah is tired.', 'The cheetah is tired.', True)
('The snake is obese.', 'The snake is obese.', True)
('The snake is obese.', 'The snake is obese.', True)
('The rabbit is beautiful.', 'The rabbit is beautiful.', True)
('The rabbit is beautiful.', 'The rabbit is beautiful.', True)
('The cheetah chases the rabbit.', 'The cheetah chases the rabbit.', True)
('The cheetah chases the rabbit.', 'The cheetah chases the rabbit.', True)
('The cat is quiet.', 'The cat is quiet.', True)
('The cat is quiet.', 'The cat is quiet.', True)
('The wolf is sleepy.', 'The wolf is sleepy.', True)
('The wolf is sleepy.', 'The wolf is sleepy.', True)
('The tiger is strong.', 'The tiger is strong.', True)
('The tiger is strong.', 'The tiger is strong.', True)
('The dog is beautiful.', 'The dog is funny.', False)
('The dog is beautiful.', 'The dog is funny.', False)
('The wolf attacks the dog.', 'The wolf attacks the dog.', True)
('The wolf attacks the dog.', 'The wolf attacks the dog.', True)
('The dog is quiet.', 'The dog is quiet.', True)
('The dog is quiet.', 'The dog is quiet.', True)
('The falcon is tired.', 'The falcon is tired.', True)
('The falcon is tired.', 'The falcon is tired.', True)
('The leopard is heavy.', 'The leopard is heavy.', True)
('The leopard is heavy.', 'The leopard is heavy.', True)
('The mouse is small.', 'The mouse is small.', True)
('The mouse is small.', 'The mouse is small.', True)
('The falcon likes the mouse.', 'The falcon likes the mouse.', True)
('The falcon likes the mouse.', 'The falcon likes the mouse.', True)
('The cat is quiet.', 'The cat is quiet.', True)
('The cat is quiet.', 'The cat is quiet.', True)
('The lion is angry.', 'The lion is angry.', True)
('The lion is angry.', 'The lion is angry.', True)
('The bald eagle is strong.', 'The bald eagle is strong.', True)
('The bald eagle is strong.', 'The bald eagle is strong.', True)
('The squirrel is furry.', 'The squirrel is furry.', True)
('The squirrel is furry.', 'The squirrel is furry.', True)
('The lion sees the squirrel.', 'The lion sees the squirrel.', True)
('The lion sees the squirrel.', 'The lion sees the squirrel.', True)
('The dog is nice.', 'The dog is nice.', True)
('The dog is nice.', 'The dog is nice.', True)
('The crocodile is lazy.', 'The crocodile is lazy.', True)
('The crocodile is lazy.', 'The crocodile is lazy.', True)
('The tiger is obese.', 'The tiger is obese.', True)
('The tiger is obese.', 'The tiger is obese.', True)
('The rabbit is cute.', 'The rabbit is cute.', True)
('The rabbit is cute.', 'The rabbit is cute.', True)
('The crocodile chases the rabbit.', 'The crocodile chases the rabbit.', True)
('The crocodile chases the rabbit.', 'The crocodile chases the rabbit.', True)
('The mouse is nice.', 'The mouse is nice.', True)
('The mouse is nice.', 'The mouse is nice.', True)
('The dinosaur is boring.', 'The dinosaur is boring.', True)
('The dinosaur is boring.', 'The dinosaur is boring.', True)
('The bald eagle is big.', 'The bald eagle is big.', True)
('The bald eagle is big.', 'The bald eagle is big.', True)
('The cat is cute.', 'The cat is cute.', True)
('The cat is cute.', 'The cat is cute.', True)
('The dinosaur needs the cat.', 'The dinosaur needs the cat.', True)
('The dinosaur needs the cat.', 'The dinosaur needs the cat.', True)
('The rabbit is quiet.', 'The rabbit is quiet.', True)
('The rabbit is quiet.', 'The rabbit is quiet.', True)
('The leopard is boring.', 'The leopard is boring.', True)
('The leopard is boring.', 'The leopard is boring.', True)
('The snake is heavy.', 'The snake is heavy.', True)
('The snake is heavy.', 'The snake is heavy.', True)
('The squirrel is furry.', 'The squirrel is furry.', True)
('The squirrel is furry.', 'The squirrel is furry.', True)
('The leopard likes the squirrel.', 'The leopard likes the squirrel.', True)
('The leopard likes the squirrel.', 'The leopard likes the squirrel.', True)
('The dog is smart.', 'The dog is smart.', True)
('The dog is smart.', 'The dog is smart.', True)
('The falcon is dull.', 'The falcon is dull.', True)
('The falcon is dull.', 'The falcon is dull.', True)
('The tiger is heavy.', 'The tiger is heavy.', True)
('The tiger is heavy.', 'The tiger is heavy.', True)
('The mouse is small.', 'The mouse is small.', True)
('The mouse is small.', 'The mouse is small.', True)
('The falcon visits the mouse.', 'The falcon visits the mouse.', True)
('The falcon visits the mouse.', 'The falcon visits the mouse.', True)
('The dog is smart.', 'The dog is smart.', True)
('The dog is smart.', 'The dog is smart.', True)
('The dinosaur is boring.', 'The dinosaur is boring.', True)
('The dinosaur is boring.', 'The dinosaur is boring.', True)
('The bear is big.', 'The bear is big.', True)
('The bear is big.', 'The bear is big.', True)
('The squirrel is lovely.', 'The squirrel is lovely.', True)
('The squirrel is lovely.', 'The squirrel is lovely.', True)
('The dinosaur needs the squirrel.', 'The dinosaur needs the squirrel.', True)
('The dinosaur needs the squirrel.', 'The dinosaur needs the squirrel.', True)
('The mouse is kind.', 'The mouse is kind.', True)
('The mouse is kind.', 'The mouse is kind.', True)
('The snake is rough.', 'The snake is rough.', True)
('The snake is rough.', 'The snake is rough.', True)
('The bear is obese.', 'The bear is obese.', True)
('The bear is obese.', 'The bear is obese.', True)
('The dog is small.', 'The dog is small.', True)
('The dog is small.', 'The dog is small.', True)
('The snake visits the dog.', 'The snake visits the dog.', True)
('The snake visits the dog.', 'The snake visits the dog.', True)
('The rabbit is smart.', 'The rabbit is smart.', True)
('The rabbit is smart.', 'The rabbit is smart.', True)
('The crocodile is boring.', 'The crocodile is boring.', True)
('The crocodile is boring.', 'The crocodile is boring.', True)
('The bear is strong.', 'The bear is strong.', True)
('The bear is strong.', 'The bear is strong.', True)
('The cat is beautiful.', 'The cat is beautiful.', True)
('The cat is beautiful.', 'The cat is beautiful.', True)
('The crocodile needs the cat.', 'The crocodile needs the cat.', True)
('The crocodile needs the cat.', 'The crocodile needs the cat.', True)
('The cat is round.', 'The cat is round.', True)
('The cat is round.', 'The cat is round.', True)
('The tiger is slow.', 'The tiger is slow.', True)
('The tiger is slow.', 'The tiger is slow.', True)
('The bear is big.', 'The bear is big.', True)
('The bear is big.', 'The bear is big.', True)
('The dog is cute.', 'The dog is cute.', True)
('The dog is cute.', 'The dog is cute.', True)
('The tiger attacks the dog.', 'The tiger attacks the dog.', True)
('The tiger attacks the dog.', 'The tiger attacks the dog.', True)
('The mouse is kind.', 'The mouse is kind.', True)
('The mouse is kind.', 'The mouse is kind.', True)
('The cheetah is boring.', 'The cheetah is boring.', True)
('The cheetah is boring.', 'The cheetah is boring.', True)
('The tiger is awful.', 'The tiger is awful.', True)
('The tiger is awful.', 'The tiger is awful.', True)
('The cat is beautiful.', 'The cat is beautiful.', True)
('The cat is beautiful.', 'The cat is beautiful.', True)
('The cheetah chases the cat.', 'The cheetah chases the cat.', True)
('The cheetah chases the cat.', 'The cheetah chases the cat.', True)
('The hamster is kind.', 'The hamster is kind.', True)
('The hamster is kind.', 'The hamster is kind.', True)
('The tiger is lazy.', 'The tiger is lazy.', True)
('The tiger is lazy.', 'The tiger is lazy.', True)
('The leopard is awful.', 'The leopard is awful.', True)
('The leopard is awful.', 'The leopard is awful.', True)
('The cat is cute.', 'The cat is cute.', True)
('The cat is cute.', 'The cat is cute.', True)
('The tiger sees the cat.', 'The tiger sees the cat.', True)
('The tiger sees the cat.', 'The tiger sees the cat.', True)
('The rabbit is round.', 'The rabbit is nice.', False)
('The rabbit is round.', 'The rabbit is nice.', False)
('The snake is boring.', 'The snake is boring.', True)
('The snake is boring.', 'The snake is boring.', True)
('The dinosaur is big.', 'The dinosaur is big.', True)
('The dinosaur is big.', 'The dinosaur is big.', True)
('The cat is beautiful.', 'The cat is lovely.', False)
('The cat is beautiful.', 'The cat is lovely.', False)
('The snake chases the cat.', 'The snake chases the cat.', True)
('The snake chases the cat.', 'The snake chases the cat.', True)
('The mouse is round.', 'The mouse is round.', True)
('The mouse is round.', 'The mouse is round.', True)
('The bald eagle is lazy.', 'The bald eagle is lazy.', True)
('The bald eagle is lazy.', 'The bald eagle is lazy.', True)
('The lion is obese.', 'The lion is obese.', True)
('The lion is obese.', 'The lion is obese.', True)
('The squirrel is beautiful.', 'The squirrel is beautiful.', True)
('The squirrel is beautiful.', 'The squirrel is beautiful.', True)
('The bald eagle sees the squirrel.', 'The bald eagle sees the squirrel.', True)
('The bald eagle sees the squirrel.', 'The bald eagle sees the squirrel.', True)
('The squirrel is smart.', 'The squirrel is smart.', True)
('The squirrel is smart.', 'The squirrel is smart.', True)
('The cheetah is sleepy.', 'The cheetah is sleepy.', True)
('The cheetah is sleepy.', 'The cheetah is sleepy.', True)
('The falcon is awful.', 'The falcon is awful.', True)
('The falcon is awful.', 'The falcon is awful.', True)
('The cat is lovely.', 'The cat is lovely.', True)
('The cat is lovely.', 'The cat is lovely.', True)
('The cheetah chases the cat.', 'The cheetah chases the cat.', True)
('The cheetah chases the cat.', 'The cheetah chases the cat.', True)
('The cat is kind.', 'The cat is kind.', True)
('The cat is kind.', 'The cat is kind.', True)
('The cheetah is angry.', 'The cheetah is angry.', True)
('The cheetah is angry.', 'The cheetah is angry.', True)
('The bear is obese.', 'The bear is obese.', True)
('The bear is obese.', 'The bear is obese.', True)
('The mouse is small.', 'The mouse is small.', True)
('The mouse is small.', 'The mouse is small.', True)
('The cheetah likes the mouse.', 'The cheetah likes the mouse.', True)
('The cheetah likes the mouse.', 'The cheetah likes the mouse.', True)
('The hamster is smart.', 'The hamster is smart.', True)
('The hamster is smart.', 'The hamster is smart.', True)
('The cheetah is reckless.', 'The cheetah is reckless.', True)
('The cheetah is reckless.', 'The cheetah is reckless.', True)
('The bald eagle is awful.', 'The bald eagle is awful.', True)
('The bald eagle is awful.', 'The bald eagle is awful.', True)
('The dog is cute.', 'The dog is cute.', True)
('The dog is cute.', 'The dog is cute.', True)
('The cheetah attacks the dog.', 'The cheetah attacks the dog.', True)
('The cheetah attacks the dog.', 'The cheetah attacks the dog.', True)
('The dog is nice.', 'The dog is nice.', True)
('The dog is nice.', 'The dog is nice.', True)
('The leopard is reckless.', 'The leopard is reckless.', True)
('The leopard is reckless.', 'The leopard is reckless.', True)
('The wolf is heavy.', 'The wolf is heavy.', True)
('The wolf is heavy.', 'The wolf is heavy.', True)
('The mouse is funny.', 'The mouse is funny.', True)
('The mouse is funny.', 'The mouse is funny.', True)
('The leopard chases the mouse.', 'The leopard chases the mouse.', True)
('The leopard chases the mouse.', 'The leopard chases the mouse.', True)
('The hamster is smart.', 'The hamster is smart.', True)
('The hamster is smart.', 'The hamster is smart.', True)
('The cheetah is reckless.', 'The cheetah is reckless.', True)
('The cheetah is reckless.', 'The cheetah is reckless.', True)
('The tiger is heavy.', 'The tiger is heavy.', True)
('The tiger is heavy.', 'The tiger is heavy.', True)
('The rabbit is lovely.', 'The rabbit is lovely.', True)
('The rabbit is lovely.', 'The rabbit is lovely.', True)
('The cheetah likes the rabbit.', 'The cheetah likes the rabbit.', True)
('The cheetah likes the rabbit.', 'The cheetah likes the rabbit.', True)
('The cat is smart.', 'The cat is smart.', True)
('The cat is smart.', 'The cat is smart.', True)
('The snake is boring.', 'The snake is boring.', True)
('The snake is boring.', 'The snake is boring.', True)
('The leopard is awful.', 'The leopard is awful.', True)
('The leopard is awful.', 'The leopard is awful.', True)
('The mouse is cute.', 'The mouse is cute.', True)
('The mouse is cute.', 'The mouse is cute.', True)
('The snake sees the mouse.', 'The snake sees the mouse.', True)
('The snake sees the mouse.', 'The snake sees the mouse.', True)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The tiger is sleepy.', 'The tiger is sleepy.', True)
('The tiger is sleepy.', 'The tiger is sleepy.', True)
('The bald eagle is big.', 'The bald eagle is big.', True)
('The bald eagle is big.', 'The bald eagle is big.', True)
('The cat is beautiful.', 'The cat is beautiful.', True)
('The cat is beautiful.', 'The cat is beautiful.', True)
('The tiger visits the cat.', 'The tiger visits the cat.', True)
('The tiger visits the cat.', 'The tiger visits the cat.', True)
('The mouse is nice.', 'The mouse is nice.', True)
('The mouse is nice.', 'The mouse is nice.', True)
('The dinosaur is sleepy.', 'The dinosaur is sleepy.', True)
('The dinosaur is sleepy.', 'The dinosaur is sleepy.', True)
('The falcon is fierce.', 'The falcon is fierce.', True)
('The falcon is fierce.', 'The falcon is fierce.', True)
('The squirrel is adorable.', 'The squirrel is adorable.', True)
('The squirrel is adorable.', 'The squirrel is adorable.', True)
('The dinosaur likes the squirrel.', 'The dinosaur likes the squirrel.', True)
('The dinosaur likes the squirrel.', 'The dinosaur likes the squirrel.', True)
('The mouse is smart.', 'The mouse is smart.', True)
('The mouse is smart.', 'The mouse is smart.', True)
('The leopard is boring.', 'The leopard is boring.', True)
('The leopard is boring.', 'The leopard is boring.', True)
('The bald eagle is strong.', 'The bald eagle is strong.', True)
('The bald eagle is strong.', 'The bald eagle is strong.', True)
('The dog is cute.', 'The dog is cute.', True)
('The dog is cute.', 'The dog is cute.', True)
('The leopard sees the dog.', 'The leopard sees the dog.', True)
('The leopard sees the dog.', 'The leopard sees the dog.', True)
('The rabbit is nice.', 'The rabbit is nice.', True)
('The rabbit is nice.', 'The rabbit is nice.', True)
('The bald eagle is rough.', 'The bald eagle is rough.', True)
('The bald eagle is rough.', 'The bald eagle is rough.', True)
('The falcon is fierce.', 'The falcon is fierce.', True)
('The falcon is fierce.', 'The falcon is fierce.', True)
('The hamster is lovely.', 'The hamster is lovely.', True)
('The hamster is lovely.', 'The hamster is lovely.', True)
('The bald eagle visits the hamster.', 'The bald eagle visits the hamster.', True)
('The bald eagle visits the hamster.', 'The bald eagle visits the hamster.', True)
('The cat is smart.', 'The cat is smart.', True)
('The cat is smart.', 'The cat is smart.', True)
('The wolf is dull.', 'The wolf is dull.', True)
('The wolf is dull.', 'The wolf is dull.', True)
('The cheetah is strong.', 'The cheetah is strong.', True)
('The cheetah is strong.', 'The cheetah is strong.', True)
('The dog is lovely.', 'The dog is lovely.', True)
('The dog is lovely.', 'The dog is lovely.', True)
('The wolf chases the dog.', 'The wolf chases the dog.', True)
('The wolf chases the dog.', 'The wolf chases the dog.', True)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The snake is reckless.', 'The snake is reckless.', True)
('The snake is reckless.', 'The snake is reckless.', True)
('The bald eagle is heavy.', 'The bald eagle is heavy.', True)
('The bald eagle is heavy.', 'The bald eagle is heavy.', True)
('The hamster is funny.', 'The hamster is funny.', True)
('The hamster is funny.', 'The hamster is funny.', True)
('The snake visits the hamster.', 'The snake visits the hamster.', True)
('The snake visits the hamster.', 'The snake visits the hamster.', True)
('The hamster is smart.', 'The hamster is smart.', True)
('The hamster is smart.', 'The hamster is smart.', True)
('The bear is angry.', 'The bear is angry.', True)
('The bear is angry.', 'The bear is angry.', True)
('The lion is heavy.', 'The lion is heavy.', True)
('The lion is heavy.', 'The lion is heavy.', True)
('The dog is adorable.', 'The dog is adorable.', True)
('The dog is adorable.', 'The dog is adorable.', True)
('The bear likes the dog.', 'The bear likes the dog.', True)
('The bear likes the dog.', 'The bear likes the dog.', True)
('The cat is round.', 'The cat is round.', True)
('The cat is round.', 'The cat is round.', True)
('The snake is angry.', 'The snake is angry.', True)
('The snake is angry.', 'The snake is angry.', True)
('The falcon is obese.', 'The falcon is obese.', True)
('The falcon is obese.', 'The falcon is obese.', True)
('The mouse is lovely.', 'The mouse is lovely.', True)
('The mouse is lovely.', 'The mouse is lovely.', True)
('The snake needs the mouse.', 'The snake needs the mouse.', True)
('The snake needs the mouse.', 'The snake needs the mouse.', True)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The bear is tired.', 'The bear is tired.', True)
('The bear is tired.', 'The bear is tired.', True)
('The falcon is heavy.', 'The falcon is heavy.', True)
('The falcon is heavy.', 'The falcon is heavy.', True)
('The hamster is beautiful.', 'The hamster is beautiful.', True)
('The hamster is beautiful.', 'The hamster is beautiful.', True)
('The bear likes the hamster.', 'The bear likes the hamster.', True)
('The bear likes the hamster.', 'The bear likes the hamster.', True)
('The dog is nice.', 'The dog is nice.', True)
('The dog is nice.', 'The dog is nice.', True)
('The dinosaur is lazy.', 'The dinosaur is lazy.', True)
('The dinosaur is lazy.', 'The dinosaur is lazy.', True)
('The leopard is fierce.', 'The leopard is fierce.', True)
('The leopard is fierce.', 'The leopard is fierce.', True)
('The rabbit is adorable.', 'The rabbit is adorable.', True)
('The rabbit is adorable.', 'The rabbit is adorable.', True)
('The dinosaur likes the rabbit.', 'The dinosaur likes the rabbit.', True)
('The dinosaur likes the rabbit.', 'The dinosaur likes the rabbit.', True)
('The rabbit is quiet.', 'The rabbit is quiet.', True)
('The rabbit is quiet.', 'The rabbit is quiet.', True)
('The leopard is reckless.', 'The leopard is reckless.', True)
('The leopard is reckless.', 'The leopard is reckless.', True)
('The dinosaur is fierce.', 'The dinosaur is fierce.', True)
('The dinosaur is fierce.', 'The dinosaur is fierce.', True)
('The dog is cute.', 'The dog is cute.', True)
('The dog is cute.', 'The dog is cute.', True)
('The leopard likes the dog.', 'The leopard likes the dog.', True)
('The leopard likes the dog.', 'The leopard likes the dog.', True)
('The cat is nice.', 'The cat is nice.', True)
('The cat is nice.', 'The cat is nice.', True)
('The dinosaur is slow.', 'The dinosaur is slow.', True)
('The dinosaur is slow.', 'The dinosaur is slow.', True)
('The bald eagle is big.', 'The bald eagle is big.', True)
('The bald eagle is big.', 'The bald eagle is big.', True)
('The mouse is adorable.', 'The mouse is adorable.', True)
('The mouse is adorable.', 'The mouse is adorable.', True)
('The dinosaur visits the mouse.', 'The dinosaur visits the mouse.', True)
('The dinosaur visits the mouse.', 'The dinosaur visits the mouse.', True)
('The cat is nice.', 'The cat is nice.', True)
('The cat is nice.', 'The cat is nice.', True)
('The lion is angry.', 'The lion is angry.', True)
('The lion is angry.', 'The lion is angry.', True)
('The tiger is awful.', 'The tiger is awful.', True)
('The tiger is awful.', 'The tiger is awful.', True)
('The dog is adorable.', 'The dog is adorable.', True)
('The dog is adorable.', 'The dog is adorable.', True)
('The lion sees the dog.', 'The lion sees the dog.', True)
('The lion sees the dog.', 'The lion sees the dog.', True)
('The cat is quiet.', 'The cat is quiet.', True)
('The cat is quiet.', 'The cat is quiet.', True)
('The bear is tired.', 'The bear is tired.', True)
('The bear is tired.', 'The bear is tired.', True)
('The snake is strong.', 'The snake is strong.', True)
('The snake is strong.', 'The snake is strong.', True)
('The rabbit is adorable.', 'The rabbit is adorable.', True)
('The rabbit is adorable.', 'The rabbit is adorable.', True)
('The bear sees the rabbit.', 'The bear sees the rabbit.', True)
('The bear sees the rabbit.', 'The bear sees the rabbit.', True)
('The hamster is kind.', 'The hamster is kind.', True)
('The hamster is kind.', 'The hamster is kind.', True)
