('The squirrel is smart.', 'The squirrel is smart.', True)
('The bear is angry.', 'The bear is angry.', True)
('The bear is angry.', 'The bear is angry.', True)
('The crocodile is obese.', 'The crocodile is obese.', True)
('The crocodile is obese.', 'The crocodile is obese.', True)
('The hamster is furry.', 'The hamster is furry.', True)
('The hamster is furry.', 'The hamster is furry.', True)
('The bear likes the hamster.', 'The bear visits the dog.', False)
('The bear likes the hamster.', 'The bear visits the dog.', False)
('The rabbit is smart.', 'The rabbit is smart.', True)
('The rabbit is smart.', 'The rabbit is smart.', True)
('The snake is dull.', 'The snake is dull.', True)
('The snake is dull.', 'The snake is dull.', True)
('The bear is fierce.', 'The bear is fierce.', True)
('The bear is fierce.', 'The bear is fierce.', True)
('The cat is cute.', 'The cat is adorable.', False)
('The cat is cute.', 'The cat is adorable.', False)
('The snake sees the cat.', 'The snake sees the cat.', True)
('The snake sees the cat.', 'The snake sees the cat.', True)
('The rabbit is smart.', 'The rabbit is smart.', True)
('The rabbit is smart.', 'The rabbit is smart.', True)
('The falcon is slow.', 'The falcon is slow.', True)
('The falcon is slow.', 'The falcon is slow.', True)
('The wolf is obese.', 'The wolf is obese.', True)
('The wolf is obese.', 'The wolf is obese.', True)
('The squirrel is cute.', 'The squirrel is funny.', False)
('The squirrel is cute.', 'The squirrel is funny.', False)
('The falcon attacks the squirrel.', 'The falcon attacks the squirrel.', True)
('The falcon attacks the squirrel.', 'The falcon attacks the squirrel.', True)
('The cat is quiet.', 'The cat is smart.', False)
('The cat is quiet.', 'The cat is smart.', False)
('The wolf is reckless.', 'The wolf is reckless.', True)
('The wolf is reckless.', 'The wolf is reckless.', True)
('The snake is heavy.', 'The snake is heavy.', True)
('The snake is heavy.', 'The snake is heavy.', True)
('The mouse is adorable.', 'The mouse is adorable.', True)
('The mouse is adorable.', 'The mouse is adorable.', True)
('The wolf chases the mouse.', 'The wolf is strong.', False)
('The wolf chases the mouse.', 'The wolf is strong.', False)
('The cat is quiet.', 'The cat is quiet.', True)
('The cat is quiet.', 'The cat is quiet.', True)
('The bear is boring.', 'The bear is lazy.', False)
('The bear is boring.', 'The bear is lazy.', False)
('The leopard is big.', 'The leopard is big.', True)
('The leopard is big.', 'The leopard is big.', True)
('The dog is funny.', 'The dog is funny.', True)
('The dog is funny.', 'The dog is funny.', True)
('The bear likes the dog.', 'The bear likes the dog.', True)
('The bear likes the dog.', 'The bear likes the dog.', True)
('The dog is smart.', 'The dog is smart.', True)
('The dog is smart.', 'The dog is smart.', True)
('The falcon is angry.', 'The falcon is angry.', True)
('The falcon is angry.', 'The falcon is angry.', True)
('The dinosaur is big.', 'The dinosaur is big.', True)
('The dinosaur is big.', 'The dinosaur is big.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The falcon visits the mouse.', 'The falcon needs the dog.', False)
('The falcon visits the mouse.', 'The falcon needs the dog.', False)
('The mouse is round.', 'The mouse is round.', True)
('The mouse is round.', 'The mouse is round.', True)
('The leopard is reckless.', 'The leopard is reckless.', True)
('The leopard is reckless.', 'The leopard is reckless.', True)
('The lion is fierce.', 'The lion is fierce.', True)
('The lion is fierce.', 'The lion is fierce.', True)
('The dog is furry.', 'The dog is furry.', True)
('The dog is furry.', 'The dog is furry.', True)
('The leopard needs the dog.', 'The leopard needs the dog.', True)
('The leopard needs the dog.', 'The leopard needs the dog.', True)
('The mouse is nice.', 'The mouse is nice.', True)
('The mouse is nice.', 'The mouse is nice.', True)
('The snake is reckless.', 'The snake is reckless.', True)
('The snake is reckless.', 'The snake is reckless.', True)
('The lion is big.', 'The lion is big.', True)
('The lion is big.', 'The lion is big.', True)
('The hamster is furry.', 'The hamster is furry.', True)
('The hamster is furry.', 'The hamster is furry.', True)
('The snake attacks the hamster.', 'The snake attacks the hamster.', True)
('The snake attacks the hamster.', 'The snake attacks the hamster.', True)
('The cat is quiet.', 'The cat is quiet.', True)
('The cat is quiet.', 'The cat is quiet.', True)
('The falcon is sleepy.', 'The falcon is sleepy.', True)
('The falcon is sleepy.', 'The falcon is sleepy.', True)
('The bear is fierce.', 'The bear is fierce.', True)
('The bear is fierce.', 'The bear is fierce.', True)
('The dog is small.', 'The dog is small.', True)
('The dog is small.', 'The dog is small.', True)
('The falcon visits the dog.', 'The falcon chases the cat.', False)
('The falcon visits the dog.', 'The falcon chases the cat.', False)
('The dog is smart.', 'The dog is smart.', True)
('The dog is smart.', 'The dog is smart.', True)
('The bald eagle is sleepy.', 'The bald eagle is sleepy.', True)
('The bald eagle is sleepy.', 'The bald eagle is sleepy.', True)
('The dinosaur is big.', 'The dinosaur is big.', True)
('The dinosaur is big.', 'The dinosaur is big.', True)
('The mouse is small.', 'The mouse is small.', True)
('The mouse is small.', 'The mouse is small.', True)
('The bald eagle needs the mouse.', 'The bald eagle needs the mouse.', True)
('The bald eagle needs the mouse.', 'The bald eagle needs the mouse.', True)
('The squirrel is smart.', 'The squirrel is smart.', True)
('The squirrel is smart.', 'The squirrel is smart.', True)
('The wolf is reckless.', 'The wolf is reckless.', True)
('The wolf is reckless.', 'The wolf is reckless.', True)
('The snake is obese.', 'The snake is obese.', True)
('The snake is obese.', 'The snake is obese.', True)
('The mouse is cute.', 'The mouse is cute.', True)
('The mouse is cute.', 'The mouse is cute.', True)
('The wolf chases the mouse.', 'The wolf chases the mouse.', True)
('The wolf chases the mouse.', 'The wolf chases the mouse.', True)
('The mouse is quiet.', 'The mouse is nice.', False)
('The mouse is quiet.', 'The mouse is nice.', False)
('The falcon is tired.', 'The falcon is tired.', True)
('The falcon is tired.', 'The falcon is tired.', True)
('The snake is strong.', 'The snake is strong.', True)
('The snake is strong.', 'The snake is strong.', True)
('The rabbit is lovely.', 'The rabbit is furry.', False)
('The rabbit is lovely.', 'The rabbit is furry.', False)
('The falcon visits the rabbit.', 'The falcon chases the mouse.', False)
('The falcon visits the rabbit.', 'The falcon chases the mouse.', False)
('The rabbit is smart.', 'The rabbit is smart.', True)
('The rabbit is smart.', 'The rabbit is smart.', True)
('The bald eagle is dull.', 'The bald eagle is dull.', True)
('The bald eagle is dull.', 'The bald eagle is dull.', True)
('The cheetah is awful.', 'The cheetah is awful.', True)
('The cheetah is awful.', 'The cheetah is awful.', True)
('The dog is cute.', 'The dog is cute.', True)
('The dog is cute.', 'The dog is cute.', True)
('The bald eagle likes the dog.', 'The bald eagle likes the dog.', True)
('The bald eagle likes the dog.', 'The bald eagle likes the dog.', True)
('The hamster is smart.', 'The hamster is smart.', True)
('The hamster is smart.', 'The hamster is smart.', True)
('The tiger is reckless.', 'The tiger is reckless.', True)
('The tiger is reckless.', 'The tiger is reckless.', True)
('The dinosaur is obese.', 'The dinosaur is obese.', True)
('The dinosaur is obese.', 'The dinosaur is obese.', True)
('The mouse is beautiful.', 'The mouse is funny.', False)
('The mouse is beautiful.', 'The mouse is funny.', False)
('The tiger needs the mouse.', 'The tiger likes the hamster.', False)
('The tiger needs the mouse.', 'The tiger likes the hamster.', False)
('The dog is quiet.', 'The dog is quiet.', True)
('The dog is quiet.', 'The dog is quiet.', True)
('The wolf is reckless.', 'The wolf is reckless.', True)
('The wolf is reckless.', 'The wolf is reckless.', True)
('The leopard is obese.', 'The leopard is obese.', True)
('The leopard is obese.', 'The leopard is obese.', True)
('The squirrel is adorable.', 'The squirrel is adorable.', True)
('The squirrel is adorable.', 'The squirrel is adorable.', True)
('The wolf attacks the squirrel.', 'The wolf attacks the squirrel.', True)
('The wolf attacks the squirrel.', 'The wolf attacks the squirrel.', True)
('The cat is round.', 'The cat is round.', True)
('The cat is round.', 'The cat is round.', True)
('The cheetah is dull.', 'The cheetah is dull.', True)
('The cheetah is dull.', 'The cheetah is dull.', True)
('The lion is awful.', 'The lion is awful.', True)
('The lion is awful.', 'The lion is awful.', True)
('The hamster is funny.', 'The hamster is funny.', True)
('The hamster is funny.', 'The hamster is funny.', True)
('The cheetah chases the hamster.', 'The cheetah chases the hamster.', True)
('The cheetah chases the hamster.', 'The cheetah chases the hamster.', True)
('The mouse is nice.', 'The mouse is nice.', True)
('The mouse is nice.', 'The mouse is nice.', True)
('The bear is slow.', 'The bear is slow.', True)
('The bear is slow.', 'The bear is slow.', True)
('The bald eagle is big.', 'The bald eagle is big.', True)
('The bald eagle is big.', 'The bald eagle is big.', True)
('The cat is lovely.', 'The cat is lovely.', True)
('The cat is lovely.', 'The cat is lovely.', True)
('The bear attacks the cat.', 'The bear attacks the mouse.', False)
('The bear attacks the cat.', 'The bear attacks the mouse.', False)
('The mouse is smart.', 'The mouse is smart.', True)
('The mouse is smart.', 'The mouse is smart.', True)
('The tiger is reckless.', 'The tiger is reckless.', True)
('The tiger is reckless.', 'The tiger is reckless.', True)
('The wolf is awful.', 'The wolf is awful.', True)
('The wolf is awful.', 'The wolf is awful.', True)
('The hamster is adorable.', 'The hamster is adorable.', True)
('The hamster is adorable.', 'The hamster is adorable.', True)
('The tiger sees the hamster.', 'The tiger attacks the mouse.', False)
('The tiger sees the hamster.', 'The tiger likes the mouse.', False)
('The mouse is round.', 'The mouse is round.', True)
('The mouse is round.', 'The mouse is round.', True)
('The lion is sleepy.', 'The lion is sleepy.', True)
('The lion is sleepy.', 'The lion is sleepy.', True)
('The leopard is big.', 'The leopard is big.', True)
('The leopard is big.', 'The leopard is big.', True)
('The rabbit is cute.', 'The rabbit is cute.', True)
('The rabbit is cute.', 'The rabbit is cute.', True)
('The lion visits the rabbit.', 'The lion sees the rabbit.', False)
('The lion visits the rabbit.', 'The lion sees the rabbit.', False)
('The rabbit is kind.', 'The rabbit is kind.', True)
('The rabbit is kind.', 'The rabbit is kind.', True)
('The cheetah is rough.', 'The cheetah is rough.', True)
('The cheetah is rough.', 'The cheetah is rough.', True)
('The bear is awful.', 'The bear is awful.', True)
('The bear is awful.', 'The bear is awful.', True)
('The hamster is small.', 'The hamster is beautiful.', False)
('The hamster is small.', 'The hamster is beautiful.', False)
('The cheetah needs the hamster.', 'The cheetah visits the rabbit.', False)
('The cheetah needs the hamster.', 'The cheetah visits the rabbit.', False)
('The mouse is nice.', 'The mouse is nice.', True)
('The mouse is nice.', 'The mouse is nice.', True)
('The dinosaur is dull.', 'The dinosaur is dull.', True)
('The dinosaur is dull.', 'The dinosaur is dull.', True)
('The lion is strong.', 'The lion is strong.', True)
('The lion is strong.', 'The lion is strong.', True)
('The dog is adorable.', 'The dog is furry.', False)
('The dog is adorable.', 'The dog is furry.', False)
('The dinosaur attacks the dog.', 'The dinosaur attacks the dog.', True)
('The dinosaur attacks the dog.', 'The dinosaur attacks the dog.', True)
('The rabbit is kind.', 'The rabbit is kind.', True)
('The rabbit is kind.', 'The rabbit is kind.', True)
('The bear is angry.', 'The bear is angry.', True)
('The bear is angry.', 'The bear is angry.', True)
('The leopard is obese.', 'The leopard is obese.', True)
('The leopard is obese.', 'The leopard is obese.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The bear likes the mouse.', 'The bear visits the rabbit.', False)
('The bear likes the mouse.', 'The bear visits the rabbit.', False)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The snake is tired.', 'The snake is tired.', True)
('The snake is tired.', 'The snake is tired.', True)
('The dinosaur is heavy.', 'The dinosaur is heavy.', True)
('The dinosaur is heavy.', 'The dinosaur is heavy.', True)
('The mouse is furry.', 'The mouse is furry.', True)
('The mouse is furry.', 'The mouse is furry.', True)
('The snake needs the mouse.', 'The snake is heavy.', False)
('The snake needs the mouse.', 'The snake is heavy.', False)
('The squirrel is quiet.', 'The squirrel is quiet.', True)
('The squirrel is quiet.', 'The squirrel is quiet.', True)
('The dinosaur is angry.', 'The dinosaur is angry.', True)
('The dinosaur is angry.', 'The dinosaur is angry.', True)
('The leopard is obese.', 'The leopard is obese.', True)
('The leopard is obese.', 'The leopard is obese.', True)
('The dog is adorable.', 'The dog is adorable.', True)
('The dog is adorable.', 'The dog is adorable.', True)
('The dinosaur attacks the dog.', 'The dinosaur attacks the dog.', True)
('The dinosaur attacks the dog.', 'The dinosaur attacks the dog.', True)
('The hamster is quiet.', 'The hamster is quiet.', True)
('The hamster is quiet.', 'The hamster is quiet.', True)
('The bear is reckless.', 'The bear is reckless.', True)
('The bear is reckless.', 'The bear is reckless.', True)
('The falcon is fierce.', 'The falcon is fierce.', True)
('The falcon is fierce.', 'The falcon is fierce.', True)
('The squirrel is small.', 'The squirrel is small.', True)
('The squirrel is small.', 'The squirrel is small.', True)
('The bear likes the squirrel.', 'The bear likes the squirrel.', True)
('The bear likes the squirrel.', 'The bear likes the squirrel.', True)
('The hamster is nice.', 'The hamster is nice.', True)
('The hamster is nice.', 'The hamster is nice.', True)
('The wolf is sleepy.', 'The wolf is sleepy.', True)
('The wolf is sleepy.', 'The wolf is sleepy.', True)
('The tiger is obese.', 'The tiger is obese.', True)
('The tiger is obese.', 'The tiger is obese.', True)
('The dog is funny.', 'The dog is funny.', True)
('The dog is funny.', 'The dog is funny.', True)
('The wolf sees the dog.', 'The wolf sees the dog.', True)
('The wolf sees the dog.', 'The wolf sees the dog.', True)
('The hamster is round.', 'The hamster is round.', True)
('The hamster is round.', 'The hamster is round.', True)
('The crocodile is boring.', 'The crocodile is boring.', True)
('The crocodile is boring.', 'The crocodile is boring.', True)
('The wolf is big.', 'The wolf is big.', True)
('The wolf is big.', 'The wolf is big.', True)
('The cat is small.', 'The cat is funny.', False)
('The cat is small.', 'The cat is funny.', False)
('The crocodile visits the cat.', 'The crocodile visits the cat.', True)
('The crocodile visits the cat.', 'The crocodile visits the cat.', True)
('The dog is quiet.', 'The dog is kind.', False)
('The dog is quiet.', 'The dog is kind.', False)
('The lion is tired.', 'The lion is tired.', True)
('The lion is tired.', 'The lion is tired.', True)
('The snake is strong.', 'The snake is strong.', True)
('The snake is strong.', 'The snake is strong.', True)
('The squirrel is adorable.', 'The squirrel is adorable.', True)
('The squirrel is adorable.', 'The squirrel is adorable.', True)
('The lion chases the squirrel.', 'The lion chases the squirrel.', True)
('The lion chases the squirrel.', 'The lion chases the squirrel.', True)
('The cat is round.', 'The cat is round.', True)
('The cat is round.', 'The cat is round.', True)
('The bear is rough.', 'The bear is rough.', True)
('The bear is rough.', 'The bear is rough.', True)
('The cheetah is obese.', 'The cheetah is obese.', True)
('The cheetah is obese.', 'The cheetah is obese.', True)
('The hamster is beautiful.', 'The hamster is beautiful.', True)
('The hamster is beautiful.', 'The hamster is beautiful.', True)
('The bear likes the hamster.', 'The bear needs the cat.', False)
('The bear likes the hamster.', 'The bear needs the cat.', False)
('The dog is nice.', 'The dog is nice.', True)
('The dog is nice.', 'The dog is nice.', True)
('The tiger is tired.', 'The tiger is tired.', True)
('The tiger is tired.', 'The tiger is tired.', True)
('The wolf is heavy.', 'The wolf is heavy.', True)
('The wolf is heavy.', 'The wolf is heavy.', True)
('The cat is funny.', 'The cat is funny.', True)
('The cat is funny.', 'The cat is funny.', True)
('The tiger visits the cat.', 'The tiger needs the dog.', False)
('The tiger visits the cat.', 'The tiger needs the dog.', False)
('The rabbit is nice.', 'The rabbit is nice.', True)
('The rabbit is nice.', 'The rabbit is nice.', True)
('The falcon is lazy.', 'The falcon is lazy.', True)
('The falcon is lazy.', 'The falcon is lazy.', True)
('The crocodile is fierce.', 'The crocodile is fierce.', True)
('The crocodile is fierce.', 'The crocodile is fierce.', True)
('The mouse is furry.', 'The mouse is adorable.', False)
('The mouse is furry.', 'The mouse is adorable.', False)
('The falcon likes the mouse.', 'The falcon likes the mouse.', True)
('The falcon likes the mouse.', 'The falcon likes the mouse.', True)
('The hamster is quiet.', 'The hamster is quiet.', True)
('The hamster is quiet.', 'The hamster is quiet.', True)
('The leopard is tired.', 'The leopard is tired.', True)
('The leopard is tired.', 'The leopard is tired.', True)
('The tiger is heavy.', 'The tiger is heavy.', True)
('The tiger is heavy.', 'The tiger is heavy.', True)
('The rabbit is funny.', 'The rabbit is funny.', True)
('The rabbit is funny.', 'The rabbit is funny.', True)
('The leopard needs the rabbit.', 'The leopard is heavy.', False)
('The leopard needs the rabbit.', 'The leopard is heavy.', False)
('The rabbit is kind.', 'The rabbit is kind.', True)
('The rabbit is kind.', 'The rabbit is kind.', True)
('The snake is lazy.', 'The snake is lazy.', True)
('The snake is lazy.', 'The snake is lazy.', True)
('The leopard is obese.', 'The leopard is obese.', True)
('The leopard is obese.', 'The leopard is obese.', True)
('The squirrel is furry.', 'The squirrel is furry.', True)
('The squirrel is furry.', 'The squirrel is furry.', True)
('The snake sees the squirrel.', 'The snake sees the squirrel.', True)
('The snake sees the squirrel.', 'The snake sees the squirrel.', True)
('The mouse is smart.', 'The mouse is smart.', True)
('The mouse is smart.', 'The mouse is smart.', True)
('The wolf is slow.', 'The wolf is slow.', True)
('The wolf is slow.', 'The wolf is slow.', True)
('The cheetah is obese.', 'The cheetah is obese.', True)
('The cheetah is obese.', 'The cheetah is obese.', True)
('The cat is beautiful.', 'The cat is beautiful.', True)
('The cat is beautiful.', 'The cat is beautiful.', True)
('The wolf chases the cat.', 'The wolf visits the mouse.', False)
('The wolf chases the cat.', 'The wolf visits the mouse.', False)
('The hamster is smart.', 'The hamster is smart.', True)
('The hamster is smart.', 'The hamster is smart.', True)
('The cheetah is rough.', 'The cheetah is rough.', True)
('The cheetah is rough.', 'The cheetah is rough.', True)
('The tiger is heavy.', 'The tiger is heavy.', True)
('The tiger is heavy.', 'The tiger is heavy.', True)
('The cat is small.', 'The cat is adorable.', False)
('The cat is small.', 'The cat is adorable.', False)
('The cheetah chases the cat.', 'The cheetah visits the hamster.', False)
('The cheetah chases the cat.', 'The cheetah visits the hamster.', False)
('The cat is smart.', 'The cat is smart.', True)
('The cat is smart.', 'The cat is smart.', True)
('The falcon is slow.', 'The falcon is slow.', True)
('The falcon is slow.', 'The falcon is slow.', True)
('The bald eagle is heavy.', 'The bald eagle is heavy.', True)
('The bald eagle is heavy.', 'The bald eagle is heavy.', True)
('The hamster is lovely.', 'The hamster is beautiful.', False)
('The hamster is lovely.', 'The hamster is beautiful.', False)
('The falcon likes the hamster.', 'The falcon attacks the cat.', False)
('The falcon likes the hamster.', 'The falcon attacks the cat.', False)
('The squirrel is round.', 'The squirrel is round.', True)
('The squirrel is round.', 'The squirrel is round.', True)
('The crocodile is rough.', 'The crocodile is rough.', True)
('The crocodile is rough.', 'The crocodile is rough.', True)
('The falcon is awful.', 'The falcon is awful.', True)
('The falcon is awful.', 'The falcon is awful.', True)
('The rabbit is funny.', 'The rabbit is funny.', True)
('The rabbit is funny.', 'The rabbit is funny.', True)
('The crocodile needs the rabbit.', 'The crocodile needs the rabbit.', True)
('The crocodile needs the rabbit.', 'The crocodile needs the rabbit.', True)
('The hamster is nice.', 'The hamster is nice.', True)
('The hamster is nice.', 'The hamster is nice.', True)
('The tiger is reckless.', 'The tiger is reckless.', True)
('The tiger is reckless.', 'The tiger is reckless.', True)
('The bear is big.', 'The bear is big.', True)
('The bear is big.', 'The bear is big.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The tiger sees the mouse.', 'The tiger visits the hamster.', False)
('The tiger sees the mouse.', 'The tiger visits the hamster.', False)
('The dog is round.', 'The dog is kind.', False)
('The dog is round.', 'The dog is kind.', False)
('The falcon is reckless.', 'The falcon is reckless.', True)
('The falcon is reckless.', 'The falcon is reckless.', True)
('The snake is strong.', 'The snake is strong.', True)
('The snake is strong.', 'The snake is strong.', True)
('The mouse is small.', 'The mouse is adorable.', False)
('The mouse is small.', 'The mouse is adorable.', False)
('The falcon chases the mouse.', 'The falcon likes the dog.', False)
('The falcon chases the mouse.', 'The falcon likes the dog.', False)
('The dog is nice.', 'The dog is nice.', True)
('The dog is nice.', 'The dog is nice.', True)
('The crocodile is reckless.', 'The crocodile is reckless.', True)
('The crocodile is reckless.', 'The crocodile is reckless.', True)
('The wolf is obese.', 'The wolf is obese.', True)
('The wolf is obese.', 'The wolf is obese.', True)
('The squirrel is beautiful.', 'The squirrel is beautiful.', True)
('The squirrel is beautiful.', 'The squirrel is beautiful.', True)
('The crocodile sees the squirrel.', 'The crocodile sees the squirrel.', True)
('The crocodile sees the squirrel.', 'The crocodile sees the squirrel.', True)
('The squirrel is quiet.', 'The squirrel is quiet.', True)
('The squirrel is quiet.', 'The squirrel is quiet.', True)
('The wolf is slow.', 'The wolf is slow.', True)
('The wolf is slow.', 'The wolf is slow.', True)
('The lion is strong.', 'The lion is strong.', True)
('The lion is strong.', 'The lion is strong.', True)
('The dog is funny.', 'The dog is funny.', True)
('The dog is funny.', 'The dog is funny.', True)
('The wolf likes the dog.', 'The wolf chases the squirrel.', False)
('The wolf likes the dog.', 'The wolf chases the squirrel.', False)
('The rabbit is smart.', 'The rabbit is smart.', True)
('The rabbit is smart.', 'The rabbit is smart.', True)
('The falcon is tired.', 'The falcon is tired.', True)
('The falcon is tired.', 'The falcon is tired.', True)
('The wolf is fierce.', 'The wolf is fierce.', True)
('The wolf is fierce.', 'The wolf is fierce.', True)
('The dog is lovely.', 'The dog is lovely.', True)
('The dog is lovely.', 'The dog is lovely.', True)
('The falcon likes the dog.', 'The falcon attacks the rabbit.', False)
('The falcon likes the dog.', 'The falcon attacks the rabbit.', False)
('The squirrel is nice.', 'The squirrel is nice.', True)
('The squirrel is nice.', 'The squirrel is nice.', True)
('The snake is tired.', 'The snake is tired.', True)
('The snake is tired.', 'The snake is tired.', True)
('The falcon is big.', 'The falcon is big.', True)
('The falcon is big.', 'The falcon is big.', True)
('The dog is funny.', 'The dog is beautiful.', False)
('The dog is funny.', 'The dog is beautiful.', False)
('The snake needs the dog.', 'The snake is squirrel.', False)
('The snake needs the dog.', 'The snake is squirrel.', False)
('The dog is quiet.', 'The dog is smart.', False)
('The dog is quiet.', 'The dog is smart.', False)
('The dinosaur is angry.', 'The dinosaur is angry.', True)
('The dinosaur is angry.', 'The dinosaur is angry.', True)
('The leopard is fierce.', 'The leopard is fierce.', True)
('The leopard is fierce.', 'The leopard is fierce.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The dinosaur attacks the mouse.', 'The dinosaur attacks the mouse.', True)
('The dinosaur attacks the mouse.', 'The dinosaur attacks the mouse.', True)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The leopard is dull.', 'The leopard is dull.', True)
('The leopard is dull.', 'The leopard is dull.', True)
('The lion is fierce.', 'The lion is fierce.', True)
('The lion is fierce.', 'The lion is fierce.', True)
('The cat is beautiful.', 'The cat is beautiful.', True)
('The cat is beautiful.', 'The cat is beautiful.', True)
('The leopard chases the cat.', 'The leopard chases the cat.', True)
('The leopard chases the cat.', 'The leopard chases the cat.', True)
('The squirrel is quiet.', 'The squirrel is kind.', False)
('The squirrel is quiet.', 'The squirrel is kind.', False)
('The falcon is reckless.', 'The falcon is reckless.', True)
('The falcon is reckless.', 'The falcon is reckless.', True)
('The bear is strong.', 'The bear is strong.', True)
('The bear is strong.', 'The bear is strong.', True)
('The cat is adorable.', 'The cat is adorable.', True)
('The cat is adorable.', 'The cat is adorable.', True)
('The falcon attacks the cat.', 'The falcon chases the squirrel.', False)
('The falcon attacks the cat.', 'The falcon chases the squirrel.', False)
('The rabbit is round.', 'The rabbit is round.', True)
('The rabbit is round.', 'The rabbit is round.', True)
('The tiger is slow.', 'The tiger is slow.', True)
('The tiger is slow.', 'The tiger is slow.', True)
('The wolf is strong.', 'The wolf is strong.', True)
('The wolf is strong.', 'The wolf is strong.', True)
('The mouse is cute.', 'The mouse is beautiful.', False)
('The mouse is cute.', 'The mouse is beautiful.', False)
('The tiger needs the mouse.', 'The tiger needs the mouse.', True)
('The tiger needs the mouse.', 'The tiger needs the mouse.', True)
('The rabbit is quiet.', 'The rabbit is quiet.', True)
('The rabbit is quiet.', 'The rabbit is quiet.', True)
('The wolf is dull.', 'The wolf is dull.', True)
('The wolf is dull.', 'The wolf is dull.', True)
('The leopard is heavy.', 'The leopard is heavy.', True)
('The leopard is heavy.', 'The leopard is heavy.', True)
('The squirrel is beautiful.', 'The squirrel is beautiful.', True)
('The squirrel is beautiful.', 'The squirrel is beautiful.', True)
('The wolf sees the squirrel.', 'The wolf sees the squirrel.', True)
('The wolf sees the squirrel.', 'The wolf sees the squirrel.', True)
('The hamster is nice.', 'The hamster is nice.', True)
('The hamster is nice.', 'The hamster is nice.', True)
('The bear is lazy.', 'The bear is lazy.', True)
('The bear is lazy.', 'The bear is lazy.', True)
('The falcon is strong.', 'The falcon is strong.', True)
('The falcon is strong.', 'The falcon is strong.', True)
('The rabbit is adorable.', 'The rabbit is funny.', False)
('The rabbit is adorable.', 'The rabbit is funny.', False)
('The bear chases the rabbit.', 'The bear chases the rabbit.', True)
('The bear chases the rabbit.', 'The bear chases the rabbit.', True)
('The dog is smart.', 'The dog is smart.', True)
('The dog is smart.', 'The dog is smart.', True)
('The bear is rough.', 'The bear is rough.', True)
('The bear is rough.', 'The bear is rough.', True)
('The snake is big.', 'The snake is big.', True)
('The snake is big.', 'The snake is big.', True)
('The cat is lovely.', 'The cat is lovely.', True)
('The cat is lovely.', 'The cat is lovely.', True)
('The bear likes the cat.', 'The bear attacks the dog.', False)
('The bear likes the cat.', 'The bear attacks the dog.', False)
('The cat is quiet.', 'The cat is kind.', False)
('The cat is quiet.', 'The cat is kind.', False)
('The dinosaur is dull.', 'The dinosaur is dull.', True)
('The dinosaur is dull.', 'The dinosaur is dull.', True)
('The leopard is awful.', 'The leopard is awful.', True)
('The leopard is awful.', 'The leopard is awful.', True)
('The squirrel is adorable.', 'The squirrel is adorable.', True)
('The squirrel is adorable.', 'The squirrel is adorable.', True)
('The dinosaur chases the squirrel.', 'The dinosaur visits the cat.', False)
('The dinosaur chases the squirrel.', 'The dinosaur visits the cat.', False)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The snake is slow.', 'The snake is slow.', True)
('The snake is slow.', 'The snake is slow.', True)
('The crocodile is obese.', 'The crocodile is obese.', True)
('The crocodile is obese.', 'The crocodile is obese.', True)
('The hamster is furry.', 'The hamster is furry.', True)
('The hamster is furry.', 'The hamster is furry.', True)
('The snake likes the hamster.', 'The snake likes the hamster.', True)
('The snake likes the hamster.', 'The snake likes the hamster.', True)
('The rabbit is quiet.', 'The rabbit is kind.', False)
('The rabbit is quiet.', 'The rabbit is kind.', False)
('The crocodile is lazy.', 'The crocodile is lazy.', True)
('The crocodile is lazy.', 'The crocodile is lazy.', True)
('The bald eagle is big.', 'The bald eagle is big.', True)
('The bald eagle is big.', 'The bald eagle is big.', True)
('The cat is funny.', 'The cat is funny.', True)
('The cat is funny.', 'The cat is funny.', True)
('The crocodile chases the cat.', 'The crocodile visits the rabbit.', False)
('The crocodile chases the cat.', 'The crocodile visits the rabbit.', False)
('The squirrel is smart.', 'The squirrel is smart.', True)
('The squirrel is smart.', 'The squirrel is smart.', True)
('The lion is dull.', 'The lion is dull.', True)
('The lion is dull.', 'The lion is dull.', True)
('The bear is heavy.', 'The bear is heavy.', True)
('The bear is heavy.', 'The bear is heavy.', True)
('The rabbit is small.', 'The rabbit is small.', True)
('The rabbit is small.', 'The rabbit is small.', True)
('The lion attacks the rabbit.', 'The lion attacks the rabbit.', True)
('The lion attacks the rabbit.', 'The lion attacks the rabbit.', True)
('The rabbit is quiet.', 'The rabbit is quiet.', True)
('The rabbit is quiet.', 'The rabbit is quiet.', True)
('The bear is boring.', 'The bear is slow.', False)
('The bear is boring.', 'The bear is slow.', False)
