('The squirrel is kind.', 'The squirrel is boring.', False)
('The hamster is furry.', 'The hamster is are are are are are are are are are are are are are', False)
('The cheetah attacks the hamster.', 'The cheetah chases the squirrel.', False)
('The cheetah attacks the hamster.', 'The cheetah chases the squirrel.', False)
('The rabbit is round.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The rabbit is round.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The bald eagle is lazy.', 'The bald eagle is obese.', False)
('The bald eagle is lazy.', 'The bald eagle is obese.', False)
('The leopard is awful.', 'The leopard is awful.', True)
('The leopard is awful.', 'The leopard is awful.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The bald eagle likes the mouse.', 'The bald eagle likes the mouse.', True)
('The bald eagle likes the mouse.', 'The bald eagle likes the mouse.', True)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The bear is lazy.', 'The bear is boring.', False)
('The bear is lazy.', 'The bear is boring.', False)
('The cheetah is obese.', 'The cheetah is obese.', True)
('The cheetah is obese.', 'The cheetah is obese.', True)
('The dog is furry.', 'The dog is adorable.', False)
('The dog is furry.', 'The dog is adorable.', False)
('The bear chases the dog.', 'The bear is attacks the dog.', False)
('The bear chases the dog.', 'The bear is attacks the dog.', False)
('The rabbit is nice.', 'The rabbit is kind.', False)
('The rabbit is nice.', 'The rabbit is kind.', False)
('The cheetah is lazy.', 'The cheetah is lazy.', True)
('The cheetah is lazy.', 'The cheetah is lazy.', True)
('The lion is obese.', 'The lion is obese.', True)
('The lion is obese.', 'The lion is obese.', True)
('The hamster is cute.', 'The hamster is adorable.', False)
('The hamster is cute.', 'The hamster is adorable.', False)
('The cheetah visits the hamster.', 'The cheetah chases the rabbit.', False)
('The cheetah visits the hamster.', 'The cheetah chases the rabbit.', False)
('The hamster is kind.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is kind.', 'The hamster is are are are are are are are are are are are are are', False)
('The bear is rough.', 'The bear is obese.', False)
('The bear is rough.', 'The bear is obese.', False)
('The lion is awful.', 'The lion is lovely.', False)
('The lion is awful.', 'The lion is lovely.', False)
('The mouse is cute.', 'The mouse is cute.', True)
('The mouse is cute.', 'The mouse is cute.', True)
('The bear attacks the mouse.', 'The bear sees the hamster.', False)
('The bear attacks the mouse.', 'The bear sees the hamster.', False)
('The dog is round.', 'The dog is beautiful.', False)
('The dog is round.', 'The dog is beautiful.', False)
('The leopard is angry.', 'The leopard is obese.', False)
('The leopard is angry.', 'The leopard is obese.', False)
('The bear is fierce.', 'The bear is obese.', False)
('The bear is fierce.', 'The bear is obese.', False)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The mouse is beautiful.', 'The mouse is beautiful.', True)
('The leopard likes the mouse.', 'The leopard likes the mouse.', True)
('The leopard likes the mouse.', 'The leopard likes the mouse.', True)
('The dog is nice.', 'The dog is is is is is is is is kind.', False)
('The dog is nice.', 'The dog is is is is is is is is is is is is is is is i', False)
('The dinosaur is slow.', 'The dinosaur is slow.', True)
('The dinosaur is slow.', 'The dinosaur is slow.', True)
('The crocodile is awful.', 'The crocodile is heavy.', False)
('The crocodile is awful.', 'The crocodile is heavy.', False)
('The squirrel is lovely.', 'The squirrel is adorable.', False)
('The squirrel is lovely.', 'The squirrel is beautiful.', False)
('The dinosaur likes the squirrel.', 'The dinosaur chases the dog.', False)
('The dinosaur likes the squirrel.', 'The dinosaur chases the dog.', False)
('The cat is nice.', 'The cat is are are are are are are are are are are are are are are are', False)
('The cat is nice.', 'The cat is are are are are are are are are are are are are are are are', False)
('The falcon is dull.', 'The falcon is boring.', False)
('The falcon is dull.', 'The falcon is boring.', False)
('The crocodile is obese.', 'The crocodile is adorable.', False)
('The crocodile is obese.', 'The crocodile is adorable.', False)
('The mouse is funny.', 'The mouse is funny.', True)
('The mouse is funny.', 'The mouse is funny.', True)
('The falcon chases the mouse.', 'The falcon chases the mouse.', True)
('The falcon chases the mouse.', 'The falcon chases the mouse.', True)
('The squirrel is smart.', 'The squirrel is kind.', False)
('The squirrel is smart.', 'The squirrel is kind.', False)
('The bald eagle is angry.', 'The bald eagle is boring.', False)
('The bald eagle is angry.', 'The bald eagle is boring.', False)
('The cheetah is fierce.', 'The cheetah is obese.', False)
('The cheetah is fierce.', 'The cheetah is obese.', False)
('The cat is funny.', 'The cat is is is is is is kind.', False)
('The cat is funny.', 'The cat is is is is is is is is is is is kind.', False)
('The bald eagle visits the cat.', 'The bald eagle attacks the squirrel.', False)
('The bald eagle visits the cat.', 'The bald eagle attacks the squirrel.', False)
('The dog is round.', 'The dog is kind.', False)
('The dog is round.', 'The dog is beautiful.', False)
('The tiger is boring.', 'The tiger is sleepy.', False)
('The tiger is boring.', 'The tiger is sleepy.', False)
('The bald eagle is obese.', 'The bald eagle is adorable.', False)
('The bald eagle is obese.', 'The bald eagle is adorable.', False)
('The rabbit is beautiful.', 'The rabbit is beautiful.', True)
('The rabbit is beautiful.', 'The rabbit is beautiful.', True)
('The tiger needs the rabbit.', 'The tiger attacks the dog.', False)
('The tiger needs the rabbit.', 'The tiger attacks the dog.', False)
('The cat is round.', 'The cat is are are are are are are are are are are are are are are are', False)
('The cat is round.', 'The cat is are are are are are are are are are are are are are are are', False)
('The falcon is slow.', 'The falcon is dull.', False)
('The falcon is slow.', 'The falcon is dull.', False)
('The lion is heavy.', 'The lion is awful.', False)
('The lion is heavy.', 'The lion is awful.', False)
('The hamster is small.', 'The hamster is cute.', False)
('The hamster is small.', 'The hamster is cute.', False)
('The falcon chases the hamster.', 'The falcon is tired.', False)
('The falcon chases the hamster.', 'The falcon is tired.', False)
('The squirrel is round.', 'The squirrel is kind.', False)
('The squirrel is round.', 'The squirrel is kind.', False)
('The bear is slow.', 'The bear is dull.', False)
('The bear is slow.', 'The bear is dull.', False)
('The lion is awful.', 'The lion is fierce.', False)
('The lion is awful.', 'The lion is fierce.', False)
('The hamster is cute.', 'The hamster is is is is is is is is is is is is is i', False)
('The hamster is cute.', 'The hamster is is is is is is is is is is is is is i', False)
('The bear needs the hamster.', 'The bear is sleepy.', False)
('The bear needs the hamster.', 'The bear is sleepy.', False)
('The dog is quiet.', 'The dog is funny.', False)
('The dog is quiet.', 'The dog is funny.', False)
('The tiger is slow.', 'The tiger is slow.', True)
('The tiger is slow.', 'The tiger is slow.', True)
('The snake is awful.', 'The snake is big.', False)
('The snake is awful.', 'The snake is big.', False)
('The squirrel is funny.', 'The squirrel is awful.', False)
('The squirrel is funny.', 'The squirrel is awful.', False)
('The tiger attacks the squirrel.', 'The tiger sees the dog.', False)
('The tiger attacks the squirrel.', 'The tiger sees the dog.', False)
('The cat is round.', 'The cat is adorable.', False)
('The cat is round.', 'The cat is adorable.', False)
('The snake is angry.', 'The snake is angry.', True)
('The snake is angry.', 'The snake is sleepy.', False)
('The tiger is awful.', 'The tiger is awful.', True)
('The tiger is awful.', 'The tiger is awful.', True)
('The mouse is adorable.', 'The mouse is cute.', False)
('The mouse is adorable.', 'The mouse is cute.', False)
('The snake likes the mouse.', 'The snake is likes the rough.', False)
('The snake likes the mouse.', 'The snake is likes the rough.', False)
('The squirrel is nice.', 'The squirrel is kind.', False)
('The squirrel is nice.', 'The squirrel is kind.', False)
('The snake is sleepy.', 'The snake is sleepy.', True)
('The snake is sleepy.', 'The snake is sleepy.', True)
('The tiger is strong.', 'The tiger is awful.', False)
('The tiger is strong.', 'The tiger is awful.', False)
('The dog is adorable.', 'The dog is adorable.', True)
('The dog is adorable.', 'The dog is adorable.', True)
('The snake likes the dog.', 'The snake visits the squirrel.', False)
('The snake likes the dog.', 'The snake visits the squirrel.', False)
('The hamster is nice.', 'The hamster is boring.', False)
('The hamster is nice.', 'The hamster is boring.', False)
('The lion is lazy.', 'The lion is sleepy.', False)
('The lion is lazy.', 'The lion is sleepy.', False)
('The dinosaur is awful.', 'The dinosaur is adorable.', False)
('The dinosaur is awful.', 'The dinosaur is adorable.', False)
('The dog is furry.', 'The dog is adorable.', False)
('The dog is furry.', 'The dog is adorable.', False)
('The lion chases the dog.', 'The lion chases the dog.', True)
('The lion chases the dog.', 'The lion chases the dog.', True)
('The cat is round.', 'The cat is are are are are are are are are are are are are are are are', False)
('The cat is round.', 'The cat is are are are are are are are are are are are are are are are', False)
('The crocodile is slow.', 'The crocodile is slow.', True)
('The crocodile is slow.', 'The crocodile is slow.', True)
('The bald eagle is strong.', 'The bald eagle is obese.', False)
('The bald eagle is strong.', 'The bald eagle is obese.', False)
('The squirrel is small.', 'The squirrel is beautiful.', False)
('The squirrel is small.', 'The squirrel is lovely.', False)
('The crocodile visits the squirrel.', 'The crocodile visits the squirrel.', True)
('The crocodile visits the squirrel.', 'The crocodile visits the squirrel.', True)
('The hamster is quiet.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is quiet.', 'The hamster is are are are are are are are are are are are are are', False)
('The leopard is angry.', 'The leopard is angry.', True)
('The leopard is angry.', 'The leopard is angry.', True)
('The tiger is strong.', 'The tiger is awful.', False)
('The tiger is strong.', 'The tiger is awful.', False)
('The rabbit is funny.', 'The rabbit is adorable.', False)
('The rabbit is funny.', 'The rabbit is adorable.', False)
('The leopard visits the rabbit.', 'The leopard visits the rabbit.', True)
('The leopard visits the rabbit.', 'The leopard visits the rabbit.', True)
('The mouse is quiet.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The mouse is quiet.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The crocodile is angry.', 'The crocodile is tired.', False)
('The crocodile is angry.', 'The crocodile is tired.', False)
('The wolf is obese.', 'The wolf is kind.', False)
('The wolf is obese.', 'The wolf is kind.', False)
('The squirrel is beautiful.', 'The squirrel is adorable.', False)
('The squirrel is beautiful.', 'The squirrel is adorable.', False)
('The crocodile needs the squirrel.', 'The crocodile attacks the mouse.', False)
('The crocodile needs the squirrel.', 'The crocodile attacks the mouse.', False)
('The mouse is smart.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The mouse is smart.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The dinosaur is angry.', 'The dinosaur is angry.', True)
('The dinosaur is angry.', 'The dinosaur is angry.', True)
('The lion is fierce.', 'The lion is strong.', False)
('The lion is fierce.', 'The lion is strong.', False)
('The rabbit is cute.', 'The rabbit is adorable.', False)
('The rabbit is cute.', 'The rabbit is adorable.', False)
('The dinosaur chases the rabbit.', 'The dinosaur is chases the rabbit.', False)
('The dinosaur chases the rabbit.', 'The dinosaur is chases the rabbit.', False)
('The cat is quiet.', 'The cat is are are are are are are are are are are are are are are are', False)
('The cat is quiet.', 'The cat is is is is are are are are are are are are are are are are', False)
('The bald eagle is sleepy.', 'The bald eagle is sleepy.', True)
('The bald eagle is sleepy.', 'The bald eagle is sleepy.', True)
('The snake is obese.', 'The snake is obese.', True)
('The snake is obese.', 'The snake is obese.', True)
('The dog is lovely.', 'The dog is adorable.', False)
('The dog is lovely.', 'The dog is adorable.', False)
('The bald eagle sees the dog.', 'The bald eagle attacks the cat.', False)
('The bald eagle sees the dog.', 'The bald eagle attacks the cat.', False)
('The mouse is round.', 'The mouse is boring.', False)
('The mouse is round.', 'The mouse is boring.', False)
('The wolf is slow.', 'The wolf is boring.', False)
('The wolf is slow.', 'The wolf is boring.', False)
('The leopard is obese.', 'The leopard is fierce.', False)
('The leopard is obese.', 'The leopard is fierce.', False)
('The squirrel is adorable.', 'The squirrel is adorable.', True)
('The squirrel is adorable.', 'The squirrel is adorable.', True)
('The wolf sees the squirrel.', 'The wolf is chases the dull.', False)
('The wolf sees the squirrel.', 'The wolf is chases the dull.', False)
('The dog is nice.', 'The dog is are are are are are are are are are are are are are are are', False)
('The dog is nice.', 'The dog is are are are are are are are are are are are are are are are', False)
('The dinosaur is rough.', 'The dinosaur is and obese.', False)
('The dinosaur is rough.', 'The dinosaur is obese.', False)
('The leopard is fierce.', 'The leopard is fierce.', True)
('The leopard is fierce.', 'The leopard is fierce.', True)
('The mouse is small.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The mouse is small.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The dinosaur attacks the mouse.', 'The dinosaur is attacks the mouse.', False)
('The dinosaur attacks the mouse.', 'The dinosaur is attacks the mouse.', False)
('The rabbit is nice.', 'The rabbit is beautiful.', False)
('The rabbit is nice.', 'The rabbit is beautiful.', False)
('The bald eagle is lazy.', 'The bald eagle is lazy.', True)
('The bald eagle is lazy.', 'The bald eagle is lazy.', True)
('The cheetah is big.', 'The cheetah is obese.', False)
('The cheetah is big.', 'The cheetah is obese.', False)
('The hamster is lovely.', 'The hamster is beautiful.', False)
('The hamster is lovely.', 'The hamster is beautiful.', False)
('The bald eagle likes the hamster.', 'The bald eagle visits the rabbit.', False)
('The bald eagle likes the hamster.', 'The bald eagle visits the rabbit.', False)
('The hamster is kind.', 'The hamster is kind.', True)
('The hamster is kind.', 'The hamster is kind.', True)
('The snake is slow.', 'The snake is lazy.', False)
('The snake is slow.', 'The snake is lazy.', False)
('The lion is strong.', 'The lion is obese.', False)
('The lion is strong.', 'The lion is obese.', False)
('The squirrel is lovely.', 'The squirrel is beautiful.', False)
('The squirrel is lovely.', 'The squirrel is beautiful.', False)
('The snake sees the squirrel.', 'The snake is attacks the rough.', False)
('The snake sees the squirrel.', 'The snake is attacks the rough.', False)
('The cat is nice.', 'The cat is are are are are are are are are are are are are are are are', False)
('The cat is nice.', 'The cat is are are are are are are are are are are are are are are are', False)
('The tiger is tired.', 'The tiger is tired.', True)
('The tiger is tired.', 'The tiger is tired.', True)
('The dinosaur is big.', 'The dinosaur is funny.', False)
('The dinosaur is big.', 'The dinosaur is funny.', False)
('The mouse is cute.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The mouse is cute.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The tiger visits the mouse.', 'The tiger sees the cat.', False)
('The tiger visits the mouse.', 'The tiger sees the cat.', False)
('The rabbit is nice.', 'The rabbit is are are are are are are are angry.', False)
('The rabbit is nice.', 'The rabbit is are are are are are are are are angry.', False)
('The falcon is lazy.', 'The falcon is awful.', False)
('The falcon is lazy.', 'The falcon is awful.', False)
('The bear is fierce.', 'The bear is awful.', False)
('The bear is fierce.', 'The bear is awful.', False)
('The hamster is lovely.', 'The hamster is kind.', False)
('The hamster is lovely.', 'The hamster is kind.', False)
('The falcon chases the hamster.', 'The falcon chases the hamster.', True)
('The falcon chases the hamster.', 'The falcon chases the hamster.', True)
('The squirrel is round.', 'The squirrel is adorable.', False)
('The squirrel is round.', 'The squirrel is adorable.', False)
('The falcon is dull.', 'The falcon is rough.', False)
('The falcon is dull.', 'The falcon is rough.', False)
('The crocodile is strong.', 'The crocodile is cute.', False)
('The crocodile is strong.', 'The crocodile is cute.', False)
('The mouse is adorable.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The mouse is adorable.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The falcon visits the mouse.', 'The falcon likes the squirrel.', False)
('The falcon visits the mouse.', 'The falcon likes the squirrel.', False)
('The cat is round.', 'The cat is kind.', False)
('The cat is round.', 'The cat is kind.', False)
('The falcon is slow.', 'The falcon is adorable.', False)
('The falcon is slow.', 'The falcon is adorable.', False)
('The bear is fierce.', 'The bear is big.', False)
('The bear is fierce.', 'The bear is big.', False)
('The squirrel is lovely.', 'The squirrel is adorable.', False)
('The squirrel is lovely.', 'The squirrel is adorable.', False)
('The falcon needs the squirrel.', 'The falcon is angry.', False)
('The falcon needs the squirrel.', 'The falcon is angry.', False)
('The hamster is kind.', 'The hamster is boring.', False)
('The hamster is kind.', 'The hamster is boring.', False)
('The tiger is sleepy.', 'The tiger is big.', False)
('The tiger is sleepy.', 'The tiger is big.', False)
('The wolf is awful.', 'The wolf is sleepy.', False)
('The wolf is awful.', 'The wolf is awful.', True)
('The mouse is furry.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The mouse is furry.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The tiger attacks the mouse.', 'The tiger is and are and are and is and are and are and is and', False)
('The tiger attacks the mouse.', 'The tiger is and are and are and is and are and are and is and', False)
('The dog is kind.', 'The dog is kind.', True)
('The dog is kind.', 'The dog is kind.', True)
('The lion is slow.', 'The lion is dull.', False)
('The lion is slow.', 'The lion is dull.', False)
('The crocodile is big.', 'The crocodile is small.', False)
('The crocodile is big.', 'The crocodile is small.', False)
('The squirrel is cute.', 'The squirrel is big.', False)
('The squirrel is cute.', 'The squirrel is cute.', True)
('The lion attacks the squirrel.', 'The lion attacks the squirrel.', True)
('The lion attacks the squirrel.', 'The lion attacks the squirrel.', True)
('The squirrel is nice.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The squirrel is nice.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The falcon is dull.', 'The falcon is dull.', True)
('The falcon is dull.', 'The falcon is dull.', True)
('The wolf is strong.', 'The wolf is beautiful.', False)
('The wolf is strong.', 'The wolf is beautiful.', False)
('The dog is cute.', 'The dog is beautiful.', False)
('The dog is cute.', 'The dog is beautiful.', False)
('The falcon visits the dog.', 'The falcon sees the squirrel.', False)
('The falcon visits the dog.', 'The falcon sees the squirrel.', False)
('The squirrel is round.', 'The squirrel is kind.', False)
('The squirrel is round.', 'The squirrel is kind.', False)
('The snake is dull.', 'The snake is boring.', False)
('The snake is dull.', 'The snake is boring.', False)
('The lion is obese.', 'The lion is obese.', True)
('The lion is obese.', 'The lion is obese.', True)
('The mouse is funny.', 'The mouse is adorable.', False)
('The mouse is funny.', 'The mouse is adorable.', False)
('The snake attacks the mouse.', 'The snake is and tired.', False)
('The snake attacks the mouse.', 'The snake is and tired.', False)
('The cat is smart.', 'The cat is kind.', False)
('The cat is smart.', 'The cat is kind.', False)
('The lion is slow.', 'The lion is slow.', True)
('The lion is slow.', 'The lion is slow.', True)
('The dinosaur is obese.', 'The dinosaur is big.', False)
('The dinosaur is obese.', 'The dinosaur is big.', False)
('The hamster is furry.', 'The hamster is kind.', False)
('The hamster is furry.', 'The hamster is kind.', False)
('The lion sees the hamster.', 'The lion sees the hamster.', True)
('The lion sees the hamster.', 'The lion sees the hamster.', True)
('The mouse is quiet.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The mouse is quiet.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The bald eagle is tired.', 'The bald eagle is angry.', False)
('The bald eagle is tired.', 'The bald eagle is angry.', False)
('The dinosaur is obese.', 'The dinosaur is tired.', False)
('The dinosaur is obese.', 'The dinosaur is tired.', False)
('The hamster is furry.', 'The hamster is are are are are are are are are are are beautiful.', False)
('The hamster is furry.', 'The hamster is are are are are are are are are are are beautiful.', False)
('The bald eagle visits the hamster.', 'The bald eagle chases the mouse.', False)
('The bald eagle visits the hamster.', 'The bald eagle chases the mouse.', False)
('The squirrel is quiet.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The squirrel is quiet.', 'The squirrel is is are are are are are are are are are are are are are are', False)
('The cheetah is lazy.', 'The cheetah is sleepy.', False)
('The cheetah is lazy.', 'The cheetah is sleepy.', False)
('The bear is strong.', 'The bear is awful.', False)
('The bear is strong.', 'The bear is awful.', False)
('The rabbit is beautiful.', 'The rabbit is is is beautiful.', False)
('The rabbit is beautiful.', 'The rabbit is is is is is is is is are are are are are are are are', False)
('The cheetah chases the rabbit.', 'The cheetah is and and and and are and are and are and', False)
('The cheetah chases the rabbit.', 'The cheetah is and and and the are and are and are an', False)
('The dog is round.', 'The dog is are are are are are are are are are are are are are are are', False)
('The dog is round.', 'The dog is are are are are are are are are are are are are are are are', False)
('The bear is angry.', 'The bear is tired.', False)
('The bear is angry.', 'The bear is tired.', False)
('The leopard is awful.', 'The leopard is awful.', True)
('The leopard is awful.', 'The leopard is awful.', True)
('The rabbit is furry.', 'The rabbit is beautiful.', False)
('The rabbit is furry.', 'The rabbit is beautiful.', False)
('The bear chases the rabbit.', 'The bear sees the dog.', False)
('The bear chases the rabbit.', 'The bear sees the dog.', False)
('The hamster is nice.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is nice.', 'The hamster is are are are are are are are are are are are are are', False)
('The bear is rough.', 'The bear is tired.', False)
('The bear is rough.', 'The bear is tired.', False)
('The wolf is awful.', 'The wolf is heavy.', False)
('The wolf is awful.', 'The wolf is heavy.', False)
('The rabbit is lovely.', 'The rabbit is beautiful.', False)
('The rabbit is lovely.', 'The rabbit is beautiful.', False)
('The bear visits the rabbit.', 'The bear likes the hamster.', False)
('The bear visits the rabbit.', 'The bear likes the hamster.', False)
('The dog is smart.', 'The dog is is is is is is is is is is is is is is is i', False)
('The dog is smart.', 'The dog is is is is is is is is is is is is is is is i', False)
('The leopard is boring.', 'The leopard is strong.', False)
('The leopard is boring.', 'The leopard is strong.', False)
('The lion is awful.', 'The lion is awful.', True)
('The lion is awful.', 'The lion is awful.', True)
('The hamster is funny.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is funny.', 'The hamster is are are are are are are are are are are are are are', False)
('The leopard needs the hamster.', 'The leopard is needs the dog.', False)
('The leopard needs the hamster.', 'The leopard is needs the dog.', False)
('The mouse is nice.', 'The mouse is kind.', False)
('The mouse is nice.', 'The mouse is kind.', False)
('The leopard is lazy.', 'The leopard is angry.', False)
('The leopard is lazy.', 'The leopard is angry.', False)
('The tiger is big.', 'The tiger is obese.', False)
('The tiger is big.', 'The tiger is obese.', False)
('The cat is cute.', 'The cat is beautiful.', False)
('The cat is cute.', 'The cat is beautiful.', False)
('The leopard visits the cat.', 'The leopard attacks the mouse.', False)
('The leopard visits the cat.', 'The leopard attacks the mouse.', False)
('The cat is round.', 'The cat is are are are are are are are are are are are are are are are', False)
('The cat is round.', 'The cat is are are are are are are are are are are are are are are are', False)
('The lion is slow.', 'The lion is lazy.', False)
('The lion is slow.', 'The lion is lazy.', False)
('The bear is big.', 'The bear is obese.', False)
('The bear is big.', 'The bear is obese.', False)
('The mouse is small.', 'The mouse is kind.', False)
('The mouse is small.', 'The mouse is kind.', False)
('The lion attacks the mouse.', 'The lion is sleepy.', False)
('The lion attacks the mouse.', 'The lion is sleepy.', False)
('The rabbit is nice.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The rabbit is nice.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The dinosaur is lazy.', 'The dinosaur is awful.', False)
('The dinosaur is lazy.', 'The dinosaur is awful.', False)
('The wolf is strong.', 'The wolf is strong.', True)
('The wolf is strong.', 'The wolf is strong.', True)
('The cat is small.', 'The cat is beautiful.', False)
('The cat is small.', 'The cat is beautiful.', False)
('The dinosaur attacks the cat.', 'The dinosaur visits the rabbit.', False)
('The dinosaur attacks the cat.', 'The dinosaur visits the rabbit.', False)
('The squirrel is nice.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The squirrel is nice.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The crocodile is dull.', 'The crocodile is sleepy.', False)
('The crocodile is dull.', 'The crocodile is sleepy.', False)
('The snake is obese.', 'The snake is obese.', True)
('The snake is obese.', 'The snake is obese.', True)
('The mouse is small.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The mouse is small.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The crocodile chases the mouse.', 'The crocodile chases the mouse.', True)
('The crocodile chases the mouse.', 'The crocodile chases the mouse.', True)
('The mouse is kind.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The mouse is kind.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The wolf is slow.', 'The wolf is boring.', False)
('The wolf is slow.', 'The wolf is slow.', True)
('The crocodile is big.', 'The crocodile is awful.', False)
('The crocodile is big.', 'The crocodile is funny.', False)
('The rabbit is adorable.', 'The rabbit is adorable.', True)
('The rabbit is adorable.', 'The rabbit is adorable.', True)
('The wolf chases the rabbit.', 'The wolf is chases the rabbit.', False)
('The wolf chases the rabbit.', 'The wolf is chases the rabbit.', False)
('The hamster is smart.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is smart.', 'The hamster is are are are are are are are are are are are are are', False)
('The snake is angry.', 'The snake is angry.', True)
('The snake is angry.', 'The snake is angry.', True)
('The falcon is awful.', 'The falcon is angry.', False)
('The falcon is awful.', 'The falcon is angry.', False)
('The dog is beautiful.', 'The dog is kind.', False)
('The dog is beautiful.', 'The dog is kind.', False)
('The snake likes the dog.', 'The snake is likes the boring.', False)
('The snake likes the dog.', 'The snake is likes the boring.', False)
('The mouse is smart.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The mouse is smart.', 'The mouse is is are are are are are are are are are are are are are are', False)
('The bald eagle is tired.', 'The bald eagle is sleepy.', False)
('The bald eagle is tired.', 'The bald eagle is sleepy.', False)
('The falcon is fierce.', 'The falcon is tired.', False)
('The falcon is fierce.', 'The falcon is tired.', False)
('The hamster is adorable.', 'The hamster is adorable.', True)
('The hamster is adorable.', 'The hamster is adorable.', True)
('The bald eagle needs the hamster.', 'The bald eagle is chases the hamster.', False)
('The bald eagle needs the hamster.', 'The bald eagle is chases the hamster.', False)
('The mouse is nice.', 'The mouse is funny.', False)
('The mouse is nice.', 'The mouse is funny.', False)
('The lion is tired.', 'The lion is dull.', False)
('The lion is tired.', 'The lion is dull.', False)
('The bald eagle is fierce.', 'The bald eagle is awful.', False)
('The bald eagle is fierce.', 'The bald eagle is awful.', False)
('The squirrel is funny.', 'The squirrel is beautiful.', False)
('The squirrel is funny.', 'The squirrel is beautiful.', False)
('The lion likes the squirrel.', 'The lion likes the squirrel.', True)
('The lion likes the squirrel.', 'The lion likes the squirrel.', True)
('The hamster is quiet.', 'The hamster is kind.', False)
('The hamster is quiet.', 'The hamster is kind.', False)
('The lion is angry.', 'The lion is angry.', True)
('The lion is angry.', 'The lion is angry.', True)
('The falcon is heavy.', 'The falcon is angry.', False)
('The falcon is heavy.', 'The falcon is angry.', False)
('The rabbit is furry.', 'The rabbit is adorable.', False)
('The rabbit is furry.', 'The rabbit is adorable.', False)
('The lion visits the rabbit.', 'The lion is attacks the rabbit.', False)
('The lion visits the rabbit.', 'The lion is attacks the rabbit.', False)
('The hamster is smart.', 'The hamster is kind.', False)
('The hamster is smart.', 'The hamster is kind.', False)
('The cheetah is sleepy.', 'The cheetah is boring.', False)
('The cheetah is sleepy.', 'The cheetah is boring.', False)
('The dinosaur is strong.', 'The dinosaur is obese.', False)
('The dinosaur is strong.', 'The dinosaur is the dinosaur is obese.', False)
('The squirrel is cute.', 'The squirrel is beautiful.', False)
('The squirrel is cute.', 'The squirrel is beautiful.', False)
('The cheetah needs the squirrel.', 'The cheetah is and and and and is and and and is and', False)
('The cheetah needs the squirrel.', 'The cheetah is and and and is and and and is and an', False)
('The hamster is smart.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is smart.', 'The hamster is are are are are are are are are are are are are are', False)
('The crocodile is sleepy.', 'The crocodile is sleepy.', True)
('The crocodile is sleepy.', 'The crocodile is sleepy.', True)
('The leopard is awful.', 'The leopard is cute.', False)
('The leopard is awful.', 'The leopard is cute.', False)
('The rabbit is furry.', 'The rabbit is cute.', False)
('The rabbit is furry.', 'The rabbit is cute.', False)
('The crocodile needs the rabbit.', 'The crocodile is and are tired.', False)
('The crocodile needs the rabbit.', 'The crocodile is and are tired.', False)
('The cat is quiet.', 'The cat is are are are are are are are are are are are are are are are', False)
('The cat is quiet.', 'The cat is are are are are are are are are are are are are are are are', False)
('The bald eagle is angry.', 'The bald eagle is awful.', False)
('The bald eagle is angry.', 'The bald eagle is awful.', False)
('The crocodile is heavy.', 'The crocodile is strong.', False)
('The crocodile is heavy.', 'The crocodile is strong.', False)
('The mouse is furry.', 'The mouse is beautiful.', False)
('The mouse is furry.', 'The mouse is beautiful.', False)
