('Fiona is strong.', 'The lion is strong.', False)
('Erin is short.', 'The lion is short.', False)
('Harry is wealthy.', 'The Harry is wealthy.', False)
('Harry is wealthy.', 'The Harry is wealthy.', False)
('Bob is poor.', 'Thebob is poor.', False)
('Bob is poor.', 'Thebob is poor.', False)
('Alan is big.', 'The Alan is big.', False)
('Alan is big.', 'The Alan is big.', False)
('Gary is thin.', 'The dog is thin.', False)
('Gary is thin.', 'The dog is thin.', False)
('Dave is clever.', 'The Dave is smart.', False)
('Dave is clever.', 'The Dave is smart.', False)
('Erin is dull.', 'The bald eagle is dull.', False)
('Erin is dull.', 'The bald eagle is dull.', False)
('Harry is huge.', 'The Harry is big.', False)
('Harry is huge.', 'The Harry is big.', False)
('Fiona is little.', 'The lion is small.', False)
('Fiona is little.', 'The lion is small.', False)
('Charlie is quiet.', 'The Charlie is quiet.', False)
('Charlie is quiet.', 'The Charlie is quiet.', False)
('Erin is poor.', 'The bald eagle is poor.', False)
('Erin is poor.', 'The bald eagle is poor.', False)
('Harry is big.', 'The Harry is big.', False)
('Harry is big.', 'The Harry is big.', False)
('Fiona is little.', 'The lion is small.', False)
('Fiona is little.', 'The lion is small.', False)
('Dave is smart.', 'The Dave is smart.', False)
('Dave is smart.', 'The Dave is smart.', False)
('Gary is bad.', 'The dog is rough.', False)
('Gary is bad.', 'The dog is rough.', False)
('Anne is heavy.', 'The bald eagle is heavy.', False)
('Anne is heavy.', 'The bald eagle is heavy.', False)
('Erin is tiny.', 'The lion is small.', False)
('Erin is tiny.', 'The lion is small.', False)
('Harry is wealthy.', 'The Harry is wealthy.', False)
('Harry is wealthy.', 'The Harry is wealthy.', False)
('Gary is bad.', 'The dog is rough.', False)
('Gary is bad.', 'The dog is heavy.', False)
('Harry is strong.', 'The Harry is strong.', False)
('Harry is strong.', 'The Harry is strong.', False)
('Anne is tiny.', 'The bald eagle is big.', False)
('Anne is tiny.', 'The bald eagle is big.', False)
('Fiona is wealthy.', 'The lion is wealthy.', False)
('Fiona is wealthy.', 'The lion is wealthy.', False)
('Erin is imperfect.', 'The bald eagle is imperfect.', False)
('Erin is imperfect.', 'The bald eagle is imperfect.', False)
('Bob is huge.', 'The Bob is big.', False)
('Bob is huge.', 'Thebob is big.', False)
('Dave is short.', 'The Dave is short.', False)
('Dave is short.', 'The Dave is short.', False)
('Charlie is wealthy.', 'The Charlie is wealthy.', False)
('Charlie is wealthy.', 'The Charlie is wealthy.', False)
('Alan is sad.', 'The Alan is sad.', False)
('Alan is sad.', 'The Alan is sad.', False)
('Erin is strong.', 'The lion is strong.', False)
('Erin is strong.', 'The lion is strong.', False)
('Fiona is short.', 'The lion is short.', False)
('Fiona is short.', 'The falcon is short.', False)
('Bob is clever.', 'Thebob is smart.', False)
('Bob is clever.', 'Thebob is smart.', False)
('Alan is poor.', 'The Alan is poor.', False)
('Alan is poor.', 'The Alan is poor.', False)
('Gary is huge.', 'The dog is big.', False)
('Gary is huge.', 'The dog is big.', False)
('Alan is short.', 'The Alan is short.', False)
('Alan is short.', 'The Alan is short.', False)
('Dave is wealthy.', 'The Dave is wealthy.', False)
('Dave is wealthy.', 'The Dave is wealthy.', False)
('Harry is sad.', 'The lion is sad.', False)
('Harry is sad.', 'The Harry is sad.', False)
('Bob is big.', 'The Bob is big.', False)
('Bob is big.', 'Thebob is big.', False)
('Charlie is tiny.', 'The Charlie is small.', False)
('Charlie is tiny.', 'The Charlie is small.', False)
('Erin is nice.', 'The lion is nice.', False)
('Erin is nice.', 'The lion is nice.', False)
('Harry is sad.', 'The Harry is sad.', False)
('Harry is sad.', 'The Harry is sad.', False)
('Anne is heavy.', 'The bald eagle is heavy.', False)
('Anne is heavy.', 'The bald eagle is heavy.', False)
('Bob is thin.', 'The Bob is thin.', False)
('Bob is thin.', 'Thebob is thin.', False)
('Fiona is clever.', 'The lion is smart.', False)
('Fiona is clever.', 'The lion is smart.', False)
('Erin is imperfect.', 'The bald eagle is imperfect.', False)
('Erin is imperfect.', 'The lion is imperfect.', False)
('Dave is heavy.', 'The Dave is heavy.', False)
('Dave is heavy.', 'The Dave is heavy.', False)
('Erin is small.', 'The lion is small.', False)
('Erin is small.', 'The lion is small.', False)
('Alan is quiet.', 'The Alan is quiet.', False)
('Alan is quiet.', 'The Alan is quiet.', False)
('Fiona is imperfect.', 'The lion is imperfect.', False)
('Fiona is imperfect.', 'The lion is imperfect.', False)
('Fiona is big.', 'The lion is big.', False)
('Fiona is big.', 'The lion is big.', False)
('Gary is little.', 'The dog is small.', False)
('Gary is little.', 'The dog is small.', False)
('Charlie is quiet.', 'The Charlie is quiet.', False)
('Charlie is quiet.', 'The Charlie is quiet.', False)
('Dave is sad.', 'The Dave is sad.', False)
('Dave is sad.', 'The Dave is sad.', False)
('Harry is strong.', 'The Harry is strong.', False)
('Harry is strong.', 'The Harry is strong.', False)
('Anne is tiny.', 'The bald eagle is small.', False)
('Anne is tiny.', 'The bald eagle is small.', False)
('Fiona is nice.', 'The lion is nice.', False)
('Fiona is nice.', 'The lion is nice.', False)
('Alan is sad.', 'The Alan is poor.', False)
('Alan is sad.', 'The Alan is poor.', False)
('Anne is high.', 'The bald eagle is strong.', False)
('Anne is high.', 'The bald eagle is strong.', False)
('Bob is small.', 'The dog is small.', False)
('Bob is small.', 'Thebob is small.', False)
('Harry is nice.', 'The Harry is nice.', False)
('Harry is nice.', 'The Harry is nice.', False)
('Erin is rough.', 'The bald eagle is rough.', False)
('Erin is rough.', 'The bald eagle is rough.', False)
('Dave is huge.', 'The Dave is big.', False)
('Dave is huge.', 'The Dave is big.', False)
('Charlie is little.', 'The Charlie is small.', False)
('Charlie is little.', 'The Charlie is small.', False)
('Bob is clever.', 'Thebob is smart.', False)
('Bob is clever.', 'Thebob is smart.', False)
('Harry is bad.', 'The Harry is bad.', False)
('Harry is bad.', 'The Harry is bad.', False)
('Gary is high.', 'The dog is heavy.', False)
('Gary is high.', 'The dog is heavy.', False)
('Bob is small.', 'Thebob is small.', False)
('Bob is small.', 'Thebob is small.', False)
('Anne is clever.', 'The bald eagle is smart.', False)
('Anne is clever.', 'The bald eagle is smart.', False)
('Alan is rough.', 'The Alan is rough.', False)
('Alan is rough.', 'The Alan is rough.', False)
('Fiona is big.', 'The lion is big.', False)
('Fiona is big.', 'The lion is big.', False)
('Alan is small.', 'The Alan is small.', False)
('Alan is small.', 'The Alan is small.', False)
('Harry is clever.', 'The Harry is smart.', False)
('Harry is clever.', 'The Harry is smart.', False)
('Dave is sad.', 'The Dave is small.', False)
('Dave is sad.', 'The dog is small.', False)
('Dave is high.', 'The Dave is heavy.', False)
('Dave is high.', 'The Dave is heavy.', False)
('Alan is tiny.', 'The Alan is small.', False)
('Alan is tiny.', 'The Alan is small.', False)
('Bob is clever.', 'Thebob is smart.', False)
('Bob is clever.', 'Thebob is smart.', False)
('Gary is imperfect.', 'The dog is imperfect.', False)
('Gary is imperfect.', 'The dog is imperfect.', False)
('Gary is heavy.', 'The dog is heavy.', False)
('Gary is heavy.', 'The dog is heavy.', False)
('Fiona is thin.', 'The falcon is thin.', False)
('Fiona is thin.', 'The falcon is thin.', False)
('Dave is quiet.', 'The Dave is quiet.', False)
('Dave is quiet.', 'The Dave is quiet.', False)
('Anne is dull.', 'The bald eagle is dull.', False)
('Anne is dull.', 'The bald eagle is dull.', False)
('Bob is high.', 'The Bob is strong.', False)
('Bob is high.', 'Thebob is strong.', False)
('Dave is short.', 'The Dave is short.', False)
('Dave is short.', 'The Dave is short.', False)
('Gary is quiet.', 'The dog is quiet.', False)
('Gary is quiet.', 'The dog is quiet.', False)
('Fiona is imperfect.', 'The lion is imperfect.', False)
('Fiona is imperfect.', 'The lion is imperfect.', False)
('Anne is big.', 'The bald eagle is big.', False)
('Anne is big.', 'The bald eagle is big.', False)
('Gary is tiny.', 'The dog is small.', False)
('Gary is tiny.', 'The dog is small.', False)
('Dave is quiet.', 'The Dave is quiet.', False)
('Dave is quiet.', 'The Dave is quiet.', False)
('Erin is rough.', 'The lion is rough.', False)
('Erin is rough.', 'The lion is rough.', False)
('Harry is strong.', 'The Harry is strong.', False)
('Harry is strong.', 'The Harry is strong.', False)
('Gary is short.', 'The dog is small.', False)
('Gary is short.', 'The dog is small.', False)
('Charlie is wealthy.', 'The Charlie is wealthy.', False)
('Charlie is wealthy.', 'The Charlie is wealthy.', False)
('Dave is rough.', 'The Dave is rough.', False)
('Dave is rough.', 'The Dave is rough.', False)
('Erin is high.', 'The lion is heavy.', False)
('Erin is high.', 'The lion is heavy.', False)
('Fiona is little.', 'The lion is small.', False)
('Fiona is little.', 'The lion is small.', False)
('Anne is nice.', 'The bald eagle is nice.', False)
('Anne is nice.', 'The bald eagle is nice.', False)
('Bob is bad.', 'The Bob is poor.', False)
('Bob is bad.', 'Thebob is poor.', False)
('Erin is high.', 'The lion is heavy.', False)
('Erin is high.', 'The lion is heavy.', False)
('Charlie is small.', 'The Charlie is small.', False)
('Charlie is small.', 'The Charlie is small.', False)
('Dave is kind.', 'The Dave is kind.', False)
('Dave is kind.', 'The Dave is kind.', False)
('Harry is dull.', 'The Harry is dull.', False)
('Harry is dull.', 'The Harry is dull.', False)
('Gary is big.', 'The dog is big.', False)
('Gary is big.', 'The dog is big.', False)
('Harry is little.', 'The Harry is small.', False)
('Harry is little.', 'The Harry is small.', False)
('Alan is kind.', 'The Alan is kind.', False)
('Alan is kind.', 'The Alan is kind.', False)
('Dave is imperfect.', 'The dog is rough.', False)
('Dave is imperfect.', 'The dog is rough.', False)
('Charlie is high.', 'The Charlie is heavy.', False)
('Charlie is high.', 'The Charlie is heavy.', False)
('Bob is small.', 'Thebob is small.', False)
('Bob is small.', 'Thebob is small.', False)
('Fiona is smart.', 'The lion is smart.', False)
('Fiona is smart.', 'The lion is smart.', False)
('Harry is imperfect.', 'The Harry is rough.', False)
('Harry is imperfect.', 'The Harry is smart.', False)
('Fiona is huge.', 'The lion is big.', False)
('Fiona is huge.', 'The lion is big.', False)
('Dave is little.', 'The Dave is small.', False)
('Dave is little.', 'The Dave is small.', False)
('Alan is wealthy.', 'The Alan is wealthy.', False)
('Alan is wealthy.', 'The Alan is wealthy.', False)
('Erin is rough.', 'The bald eagle is poor.', False)
('Erin is rough.', 'The lion is poor.', False)
('Harry is huge.', 'The Harry is big.', False)
('Harry is huge.', 'The Harry is big.', False)
('Fiona is small.', 'The lion is small.', False)
('Fiona is small.', 'The lion is small.', False)
('Dave is kind.', 'The Dave is kind.', False)
('Dave is kind.', 'The Dave is kind.', False)
('Bob is imperfect.', 'The dog is poor.', False)
('Bob is imperfect.', 'The dog is poor.', False)
('Anne is high.', 'The bald eagle is strong.', False)
('Anne is high.', 'The bald eagle is strong.', False)
('Erin is thin.', 'The bald eagle is thin.', False)
('Erin is thin.', 'The bald eagle is thin.', False)
('Alan is clever.', 'The Alan is smart.', False)
('Alan is clever.', 'The Alan is smart.', False)
('Harry is rough.', 'The Harry is rough.', False)
('Harry is rough.', 'The Harry is rough.', False)
('Dave is high.', 'The Dave is heavy.', False)
('Dave is high.', 'The Dave is heavy.', False)
('Harry is tiny.', 'The Harry is small.', False)
('Harry is tiny.', 'The Harry is small.', False)
('Charlie is kind.', 'The Charlie is kind.', False)
('Charlie is kind.', 'The Charlie is kind.', False)
('Erin is bad.', 'The bald eagle is awful.', False)
('Erin is bad.', 'The bald eagle is awful.', False)
('Bob is big.', 'The Bob is big.', False)
('Bob is big.', 'Thebob is big.', False)
('Erin is thin.', 'The bald eagle is thin.', False)
('Erin is thin.', 'The lion is thin.', False)
('Dave is smart.', 'The Dave is smart.', False)
('Dave is smart.', 'The Dave is smart.', False)
('Fiona is poor.', 'The lion is poor.', False)
('Fiona is poor.', 'The lion is poor.', False)
('Alan is huge.', 'The Alan is big.', False)
('Alan is huge.', 'The Alan is big.', False)
('Charlie is small.', 'The Charlie is small.', False)
('Charlie is small.', 'The Charlie is small.', False)
('Dave is nice.', 'The Dave is nice.', False)
('Dave is nice.', 'The Dave is nice.', False)
('Fiona is sad.', 'The lion is sad.', False)
('Fiona is sad.', 'The lion is sad.', False)
('Anne is heavy.', 'The bald eagle is heavy.', False)
('Anne is heavy.', 'The bald eagle is heavy.', False)
('Charlie is short.', 'The Charlie is small.', False)
('Charlie is short.', 'The Charlie is small.', False)
('Erin is wealthy.', 'The lion is wealthy.', False)
('Erin is wealthy.', 'The lion is wealthy.', False)
('Alan is poor.', 'The Alan is poor.', False)
('Alan is poor.', 'The Alan is poor.', False)
('Charlie is big.', 'The Charlie is big.', False)
('Charlie is big.', 'The Charlie is big.', False)
('Fiona is little.', 'The lion is small.', False)
('Fiona is little.', 'The lion is small.', False)
('Anne is smart.', 'The bald eagle is smart.', False)
('Anne is smart.', 'The bald eagle is smart.', False)
('Dave is bad.', 'The Dave is poor.', False)
('Dave is bad.', 'The Dave is poor.', False)
('Dave is high.', 'The Dave is heavy.', False)
('Dave is high.', 'The Dave is heavy.', False)
('Fiona is little.', 'The lion is small.', False)
('Fiona is little.', 'The lion is small.', False)
('Alan is kind.', 'The Alan is kind.', False)
('Alan is kind.', 'The Alan is kind.', False)
('Bob is sad.', 'The dog is small.', False)
('Bob is sad.', 'The dog is small.', False)
('Fiona is huge.', 'The lion is big.', False)
('Fiona is huge.', 'The falcon is big.', False)
('Harry is small.', 'The Harry is small.', False)
('Harry is small.', 'The Harry is small.', False)
('Bob is nice.', 'The Bob is nice.', False)
('Bob is nice.', 'Thebob is nice.', False)
('Gary is imperfect.', 'The dog is rough.', False)
('Gary is imperfect.', 'The dog is rough.', False)
('Alan is huge.', 'The Alan is big.', False)
('Alan is huge.', 'The Alan is big.', False)
('Erin is tiny.', 'The lion is small.', False)
('Erin is tiny.', 'The lion is big.', False)
('Bob is clever.', 'The dog is smart.', False)
('Bob is clever.', 'The dog is smart.', False)
('Dave is poor.', 'The Dave is poor.', False)
('Dave is poor.', 'The Dave is poor.', False)
('Anne is strong.', 'The bald eagle is strong.', False)
('Anne is strong.', 'The bald eagle is strong.', False)
('Erin is tiny.', 'The bald eagle is small.', False)
('Erin is tiny.', 'The lion is small.', False)
('Harry is kind.', 'The Harry is kind.', False)
('Harry is kind.', 'The Harry is kind.', False)
('Fiona is bad.', 'The falcon is big.', False)
('Fiona is bad.', 'The falcon is big.', False)
('Bob is high.', 'The Bob is strong.', False)
('Bob is high.', 'Thebob is strong.', False)
('Erin is thin.', 'The lion is thin.', False)
('Erin is thin.', 'The lion is thin.', False)
('Gary is clever.', 'The dog is smart.', False)
('Gary is clever.', 'The dog is smart.', False)
('Anne is dull.', 'The bald eagle is dull.', False)
('Anne is dull.', 'The bald eagle is dull.', False)
('Anne is strong.', 'The bald eagle is strong.', False)
('Anne is strong.', 'The bald eagle is strong.', False)
('Dave is short.', 'The Dave is short.', False)
('Dave is short.', 'The Dave is short.', False)
('Gary is clever.', 'The dog is smart.', False)
('Gary is clever.', 'The dog is smart.', False)
('Bob is rough.', 'The dog is rough.', False)
('Bob is rough.', 'The dog is rough.', False)
('Charlie is huge.', 'The Charlie is big.', False)
('Charlie is huge.', 'The Charlie is big.', False)
('Alan is short.', 'The Alan is small.', False)
('Alan is short.', 'The Alan is small.', False)
('Harry is smart.', 'The Harry is smart.', False)
('Harry is smart.', 'The Harry is smart.', False)
('Erin is dull.', 'The bald eagle is dull.', False)
('Erin is dull.', 'The bald eagle is dull.', False)
('Bob is big.', 'The Bob is big.', False)
('Bob is big.', 'Thebob is big.', False)
('Alan is short.', 'The Alan is short.', False)
('Alan is short.', 'The Alan is small.', False)
('Fiona is smart.', 'The lion is smart.', False)
('Fiona is smart.', 'The falcon is smart.', False)
('Anne is rough.', 'The bald eagle is rough.', False)
('Anne is rough.', 'The bald eagle is rough.', False)
('Anne is strong.', 'The bald eagle is strong.', False)
('Anne is strong.', 'The bald eagle is strong.', False)
('Erin is small.', 'The bald eagle is small.', False)
('Erin is small.', 'The lion is small.', False)
('Dave is smart.', 'The Dave is smart.', False)
('Dave is smart.', 'The Dave is smart.', False)
('Charlie is imperfect.', 'The Charlie is rough.', False)
('Charlie is imperfect.', 'The Charlie is rough.', False)
('Bob is huge.', 'The Bob is big.', False)
('Bob is huge.', 'Thebob is big.', False)
('Fiona is short.', 'The lion is short.', False)
('Fiona is short.', 'The lion is short.', False)
('Anne is smart.', 'The bald eagle is smart.', False)
('Anne is smart.', 'The bald eagle is smart.', False)
('Erin is bad.', 'The bald eagle is awful.', False)
('Erin is bad.', 'The bald eagle is awful.', False)
('Bob is high.', 'Thebob is heavy.', False)
('Bob is high.', 'Thebob is heavy.', False)
('Alan is small.', 'The Alan is small.', False)
('Alan is small.', 'The Alan is small.', False)
('Erin is nice.', 'The lion is nice.', False)
('Erin is nice.', 'The lion is nice.', False)
('Anne is dull.', 'The bald eagle is dull.', False)
('Anne is dull.', 'The bald eagle is dull.', False)
('Alan is big.', 'The Alan is big.', False)
('Alan is big.', 'The Alan is big.', False)
('Bob is tiny.', 'Thebob is small.', False)
('Bob is tiny.', 'Thebob is small.', False)
('Erin is kind.', 'The lion is kind.', False)
('Erin is kind.', 'The lion is kind.', False)
('Fiona is sad.', 'The lion is sad.', False)
('Fiona is sad.', 'The lion is sad.', False)
('Bob is strong.', 'The Bob is strong.', False)
('Bob is strong.', 'Thebob is strong.', False)
('Erin is thin.', 'The bald eagle is thin.', False)
('Erin is thin.', 'The lion is thin.', False)
('Fiona is quiet.', 'The lion is quiet.', False)
('Fiona is quiet.', 'The lion is quiet.', False)
('Charlie is dull.', 'The Charlie is dull.', False)
('Charlie is dull.', 'The Charlie is dull.', False)
('Gary is heavy.', 'The dog is heavy.', False)
('Gary is heavy.', 'The dog is heavy.', False)
('Dave is short.', 'The Dave is short.', False)
('Dave is short.', 'The Dave is short.', False)
('Bob is clever.', 'The Bob is smart.', False)
('Bob is clever.', 'Thebob is smart.', False)
('Harry is sad.', 'The Harry is heavy.', False)
('Harry is sad.', 'The Harry is heavy.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Harry is little.', 'The Harry is small.', False)
('Harry is little.', 'The Harry is small.', False)
('Anne is nice.', 'The bald eagle is nice.', False)
('Anne is nice.', 'The bald eagle is nice.', False)
('Fiona is poor.', 'The lion is poor.', False)
('Fiona is poor.', 'The lion is poor.', False)
('Harry is high.', 'The Harry is heavy.', False)
('Harry is high.', 'The Harry is heavy.', False)
('Erin is little.', 'The lion is small.', False)
('Erin is little.', 'The lion is small.', False)
('Alan is kind.', 'The Alan is kind.', False)
('Alan is kind.', 'The Alan is kind.', False)
('Bob is rough.', 'Thebob is rough.', False)
('Bob is rough.', 'Thebob is rough.', False)
('Bob is huge.', 'The Bob is big.', False)
('Bob is huge.', 'Thebob is big.', False)
('Erin is thin.', 'The bald eagle is thin.', False)
('Erin is thin.', 'The bald eagle is thin.', False)
('Harry is wealthy.', 'The Harry is wealthy.', False)
('Harry is wealthy.', 'The Harry is wealthy.', False)
('Alan is rough.', 'The Alan is rough.', False)
('Alan is rough.', 'The Alan is rough.', False)
('Anne is high.', 'The bald eagle is strong.', False)
('Anne is high.', 'The bald eagle is strong.', False)
('Alan is tiny.', 'The Alan is small.', False)
('Alan is tiny.', 'The Alan is small.', False)
('Fiona is wealthy.', 'The lion is wealthy.', False)
('Fiona is wealthy.', 'The lion is wealthy.', False)
('Bob is dull.', 'The Bob is dull.', False)
('Bob is dull.', 'Thebob is dull.', False)
('Anne is big.', 'The bald eagle is big.', False)
('Anne is big.', 'The bald eagle is big.', False)
('Harry is little.', 'The Harry is small.', False)
('Harry is little.', 'The Harry is small.', False)
('Bob is nice.', 'The Bob is nice.', False)
('Bob is nice.', 'Thebob is nice.', False)
('Alan is dull.', 'The Alan is big.', False)
('Alan is dull.', 'The Alan is big.', False)
('Bob is strong.', 'The Bob is strong.', False)
('Bob is strong.', 'The Bob is strong.', False)
('Harry is thin.', 'The Harry is thin.', False)
('Harry is thin.', 'The Harry is thin.', False)
('Erin is nice.', 'The lion is nice.', False)
('Erin is nice.', 'The lion is nice.', False)
('Fiona is poor.', 'The lion is poor.', False)
('Fiona is poor.', 'The lion is poor.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Anne is short.', 'The bald eagle is short.', False)
('Anne is short.', 'The bald eagle is short.', False)
('Bob is smart.', 'The Bob is smart.', False)
('Bob is smart.', 'Thebob is smart.', False)
('Harry is bad.', 'The Harry is awful.', False)
('Harry is bad.', 'The Harry is awful.', False)
('Erin is big.', 'The lion is big.', False)
('Erin is big.', 'The lion is big.', False)
('Anne is small.', 'The bald eagle is small.', False)
('Anne is small.', 'The bald eagle is small.', False)
('Dave is quiet.', 'The Dave is quiet.', False)
('Dave is quiet.', 'The Dave is quiet.', False)
('Bob is imperfect.', 'The dog is imperfect.', False)
('Bob is imperfect.', 'The dog is imperfect.', False)
('Harry is heavy.', 'The Harry is heavy.', False)
('Harry is heavy.', 'The Harry is heavy.', False)
('Dave is thin.', 'The Dave is thin.', False)
('Dave is thin.', 'The Dave is thin.', False)
('Fiona is quiet.', 'The lion is quiet.', False)
('Fiona is quiet.', 'The lion is quiet.', False)
('Charlie is sad.', 'The Charlie is sad.', False)
('Charlie is sad.', 'The Charlie is sad.', False)
('Fiona is huge.', 'The lion is big.', False)
('Fiona is huge.', 'The lion is big.', False)
('Bob is short.', 'The Bob is short.', False)
('Bob is short.', 'Thebob is short.', False)
('Charlie is quiet.', 'The Charlie is quiet.', False)
('Charlie is quiet.', 'The Charlie is quiet.', False)
('Dave is sad.', 'The Dave is poor.', False)
('Dave is sad.', 'The Dave is poor.', False)
('Anne is strong.', 'The bald eagle is strong.', False)
('Anne is strong.', 'The bald eagle is strong.', False)
('Charlie is thin.', 'The Charlie is thin.', False)
('Charlie is thin.', 'The Charlie is thin.', False)
('Alan is wealthy.', 'The Alan is wealthy.', False)
('Alan is wealthy.', 'The Alan is wealthy.', False)
('Harry is dull.', 'The Harry is dull.', False)
('Harry is dull.', 'The Harry is dull.', False)
('Dave is huge.', 'The Dave is big.', False)
('Dave is huge.', 'The Dave is big.', False)
('Anne is short.', 'The bald eagle is short.', False)
('Anne is short.', 'The bald eagle is short.', False)
('Alan is clever.', 'The Alan is smart.', False)
('Alan is clever.', 'The Alan is smart.', False)
('Erin is rough.', 'The bald eagle is rough.', False)
('Erin is rough.', 'The lion is rough.', False)
('Harry is heavy.', 'The Harry is heavy.', False)
('Harry is heavy.', 'The Harry is heavy.', False)
('Charlie is little.', 'The Charlie is small.', False)
('Charlie is little.', 'The Charlie is small.', False)
('Bob is smart.', 'Thebob is smart.', False)
('Bob is smart.', 'The dog is smart.', False)
('Gary is imperfect.', 'The dog is imperfect.', False)
('Gary is imperfect.', 'The dog is imperfect.', False)
('Bob is heavy.', 'The Bob is heavy.', False)
('Bob is heavy.', 'Thebob is heavy.', False)
('Dave is short.', 'The Dave is small.', False)
('Dave is short.', 'The Dave is small.', False)
('Anne is quiet.', 'The bald eagle is quiet.', False)
('Anne is quiet.', 'The bald eagle is quiet.', False)
('Harry is bad.', 'The Harry is rough.', False)
('Harry is bad.', 'The Harry is rough.', False)
('Harry is high.', 'The Harry is heavy.', False)
('Harry is high.', 'The Harry is heavy.', False)
('Dave is tiny.', 'The Dave is small.', False)
('Dave is tiny.', 'The Dave is small.', False)
('Erin is clever.', 'The lion is smart.', False)
('Erin is clever.', 'The lion is smart.', False)
('Gary is poor.', 'The dog is poor.', False)
('Gary is poor.', 'The dog is poor.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Erin is little.', 'The lion is small.', False)
('Erin is little.', 'The lion is small.', False)
('Gary is kind.', 'The dog is kind.', False)
('Gary is kind.', 'The dog is kind.', False)
('Harry is imperfect.', 'The Harry is imperfect.', False)
('Harry is imperfect.', 'The Harry is imperfect.', False)
('Harry is heavy.', 'The Harry is heavy.', False)
('Harry is heavy.', 'The Harry is heavy.', False)
('Fiona is tiny.', 'The lion is small.', False)
('Fiona is tiny.', 'The lion is small.', False)
('Gary is wealthy.', 'The dog is wealthy.', False)
('Gary is wealthy.', 'The dog is wealthy.', False)
('Alan is sad.', 'The Alan is sad.', False)
('Alan is sad.', 'The Alan is heavy.', False)
('Harry is big.', 'The Harry is big.', False)
('Harry is big.', 'The Harry is big.', False)
('Bob is small.', 'Thebob is small.', False)
('Bob is small.', 'Thebob is small.', False)
('Gary is wealthy.', 'The dog is wealthy.', False)
('Gary is wealthy.', 'The dog is wealthy.', False)
('Anne is rough.', 'The bald eagle is rough.', False)
('Anne is rough.', 'The bald eagle is rough.', False)
('Harry is heavy.', 'The Harry is heavy.', False)
('Harry is heavy.', 'The Harry is heavy.', False)
('Charlie is thin.', 'The Charlie is thin.', False)
('Charlie is thin.', 'The Charlie is thin.', False)
('Gary is clever.', 'The dog is smart.', False)
('Gary is clever.', 'The dog is smart.', False)
('Anne is imperfect.', 'The bald eagle is imperfect.', False)
('Anne is imperfect.', 'The bald eagle is imperfect.', False)
('Fiona is huge.', 'The lion is big.', False)
('Fiona is huge.', 'The lion is big.', False)
('Alan is little.', 'The Alan is small.', False)
('Alan is little.', 'The Alan is small.', False)
('Dave is kind.', 'The Dave is kind.', False)
('Dave is kind.', 'The Dave is kind.', False)
('Gary is bad.', 'The dog is awful.', False)
('Gary is bad.', 'The dog is awful.', False)
('Anne is high.', 'The bald eagle is strong.', False)
('Anne is high.', 'The bald eagle is strong.', False)
('Dave is short.', 'The Dave is small.', False)
('Dave is short.', 'The Dave is small.', False)
('Alan is kind.', 'The Alan is kind.', False)
('Alan is kind.', 'The Alan is kind.', False)
('Harry is dull.', 'The Harry is dull.', False)
('Harry is dull.', 'The Harry is dull.', False)
('Erin is strong.', 'The lion is strong.', False)
('Erin is strong.', 'The lion is strong.', False)
('Alan is short.', 'The Alan is small.', False)
('Alan is short.', 'The Alan is small.', False)
('Anne is kind.', 'The bald eagle is kind.', False)
('Anne is kind.', 'The bald eagle is kind.', False)
('Harry is imperfect.', 'The Harry is imperfect.', False)
('Harry is imperfect.', 'The Harry is imperfect.', False)
('Alan is big.', 'The Alan is big.', False)
('Alan is big.', 'The Alan is big.', False)
('Dave is tiny.', 'The Dave is small.', False)
('Dave is tiny.', 'The Dave is small.', False)
('Gary is clever.', 'The dog is smart.', False)
('Gary is clever.', 'The dog is smart.', False)
('Charlie is poor.', 'The Charlie is poor.', False)
('Charlie is poor.', 'The Charlie is poor.', False)
('Harry is big.', 'The Harry is big.', False)
('Harry is big.', 'The Harry is big.', False)
('Fiona is short.', 'The falcon is short.', False)
('Fiona is short.', 'The falcon is short.', False)
('Bob is kind.', 'The dog is kind.', False)
('Bob is kind.', 'The dog is kind.', False)
('Dave is bad.', 'The Dave is poor.', False)
('Dave is bad.', 'The Dave is poor.', False)
('Bob is high.', 'The Bob is strong.', False)
('Bob is high.', 'The Bob is strong.', False)
('Fiona is thin.', 'The lion is thin.', False)
('Fiona is thin.', 'The falcon is thin.', False)
('Dave is wealthy.', 'The Dave is wealthy.', False)
('Dave is wealthy.', 'The Dave is wealthy.', False)
('Erin is bad.', 'The lion is awful.', False)
('Erin is bad.', 'The bald eagle is awful.', False)
('Harry is huge.', 'The lion is big.', False)
('Harry is huge.', 'The Harry is big.', False)
('Erin is short.', 'The bald eagle is short.', False)
('Erin is short.', 'The lion is short.', False)
('Bob is wealthy.', 'The dog is wealthy.', False)
('Bob is wealthy.', 'The dog is wealthy.', False)
('Dave is poor.', 'The Dave is poor.', False)
('Dave is poor.', 'The Dave is poor.', False)
('Charlie is high.', 'The Charlie is heavy.', False)
('Charlie is high.', 'The Charlie is heavy.', False)
